Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
蔓,25454,màn,maan6,,,bān,,ばん,,,hangeul=만|eumhun=|rv=man|mr=man|y=man,,,,,,,,,,,,,,,,
蔔,25455,bó,baak6,phe̍t,,,,ぼく,ぼく,ほく,hangeul=복|eumhun=|rv=bok|mr=pok|y=pok,,,,,,,,,,,,,,,,
蔕,25456,,,,,,,たい,たい,てい,hangeul=체|eumhun=|rv=che|mr=ch'e|y=chey,,,,,,,,,,,,,,,,
蔖,25457,cuó,,,,,,,,,,,,,,,,,,,,,,,,,
蔗,25458,zhè,ze3,,,chià,,しゃ,しゃ,しゃ,hangeul=자|eumhun=|rv=ja|mr=cha|y=ca,,,,,,,,,,,,,,,,
蔘,25459,sān,,,,,,しん,しん,しん,hangeul=삼|eumhun=|rv=sam|mr=sam|y=sam,,,,,,,,,,,,,,,,
蔚,25461,wèi,wai3,,,,,うつ,,,hangeul=[[울]], [[위]]|eumhun=|rv=ul, wi|mr=ul, wi|y=wul, wi,,,,,,,,,,,,
蔛,25462,hú,,,,,,,,,,,,,,,,,,,,,,,,,
蔜,25463,áo,,,,,,ごう,,,,,,,,,,,,,,,,,,,
蔝,25464,mǐ,,,,,,,,,,,,,,,,,,,,,,,,,
蔞,25465,lóu,lau5,,,,,る,る,ろう,hangeul=[[루]]>[[누]]|eumhun=|rv=ru>nu|mr=ru>nu|y=lwu>nwu,,,,,,,,,,,,,,,,
蔟,25466,cù,cuk1,,,,,す,す,そう,hangeul=주|eumhun=,,,,,,,,,,,,,,,,
蔠,25467,zhōng,zung1,,,,,,,,,,,,,,,,,,,,,,,,
蔡,25468,cài,coi3,chhai,,chhòa,,さい|kanon=さい|on=さつ|kun=あくた,さい|kanon=さい|on=さつ|kun=あくた,さい|on=さつ|kun=あくた,hangeul=[[채]], [[살]]|eumhun=|rv=chae, sal|mr=ch'ae, sal|y=chay, sal,,,,,,,,,,,,
蔢,25469,,,,,,,は,,,,,,,,,,,,,,,,,,,
蔣,25470,jiǎng,zoeng2,chióng,,,,しょう,,,hangeul=장|eumhun=|rv=jang|mr=chang|y=cang,,,,,,,,,,,,,,,,
蔤,25471,mì,mat6,,,,,びつ,,,,,,,,,,,,,,,,,,,
蔥,25472,cōng,cung1,chhûng,,chhang,,そう,,,hangeul=[[총]]|eumhun=|rv=chong|mr=ch'ong|y=chong,,,,,,,,,,,,,,,,
蔦,25473,niǎo,niu5,,,,,ちょう,ちょう,ちょう,hangeul=조|eumhun=|rv=jo|mr=cho|y=co,,,,,,,,,,,,,,,,
蔧,25474,huì,seoi6,,,,,せい,,,,,,,,,,,,,,,,,,,
蔨,25475,juàn,,,,,,,,,,,,,,,,,,,,,,,,,
蔩,25476,yín,,,,,,,,,,,,,,,,,,,,,,,,,
蔪,25477,jiàn,saam1,,,,,ぜん,ぜん,さん,hangeul=점|eumhun=|rv=jeom|mr=chŏm|y=cem,,,,,,,,,,,,,,,,
蔫,25478,niān,jin1,,,lian,,えん,,,,,,,,,,,,,,,,,,,
蔬,25479,shū,so1,,,so͘,,そ,,,hangeul=소|eumhun=|rv=so|mr=so|y=so,,,,,,,,,,,,,,,,
蔭,25480,yìn,jam3,,,ìm,,おん,おん,いん,hangeul=[[음]]|eumhun=|rv=eum|mr=ŭm|y=um,,,,,,,,,,,,,,,,
蔮,25481,guì,kui3,,,,,,,,,,,,,,,,,,,,,,,,
蔻,25494,kòu,kau3,,,,,,,,,,,,,,,,,,,,,,,,
蔽,25521,bì,bai3,,,pè,,へ,へ,へい,hangeul=[[폐]], [[별]], [[불]]|eumhun=|rv=pye, byeol, bul|mr=p'ye, pyŏl, pul|y=phyey, pyel, pul,,,,,,,,
蔾,25522,,,,,,,,,,,,,,,,,,,,,,,,,,
蕀,25524,,,,,,,きょく,,,,,,,,,,,,,,,,,,,
蕁,25525,tán,,,,,,じん,,,hangeul=담|eumhun=|rv=dam|mr=tam|y=tam,,,,,,,,,,,,,,,,
蕂,25526,shèng,,,,,,,,,,,,,,,,,,,,,,,,,
蕃,25527,fán,faan4,,,hoan,,ほん,ほん,はん,hangeul=번|eumhun=|rv=beon|mr=pŏn|y=pen,,,,,,,,,,,,,,,,
蕄,25528,méng,,,,,,,,,,,,,,,,,,,,,,,,,
蕅,25529,ǒu,ngau5,,,,,,,,,,,,,,,,,,,,,,,,
蕆,25530,chǎn,zin2,,,,,てん,,,hangeul=천|eumhun=|rv=cheon|mr=ch'ŏn|y=chen,,,,,,,,,,,,,,,,
蕇,25531,diǎn,din2,,,,,,,,,,,,,,,,,,,,,,,,
蕉,25533,jiāo,ziu1,chêu,,chio,,しょう,しょう,しょう,hangeul=[[초]]|eumhun=|rv=cho|mr=ch'o|y=cho,,,,,,,,,,,,,,,,
蕊,25534,ruǐ,jeoi5,lûi,,lúi,,ぬい,ぬい,ずい,hangeul=예|eumhun=|rv=ye|mr=ye|y=yey,,,,,,,,,,,,,,,,
蕍,25537,yú,,,,,,,,,,,,,,,,,,,,,,,,,
蕎,25538,qiáo,kiu4,,,,,きょう,,,hangeul=교|eumhun=|rv=gyo|mr=kyo|y=kyo,,,,,,,,,,,,,,,,
蕑,25541,,,,,,,かん,,,,,,,,,,,,,,,,,,,
蕒,25542,mǎi,maai5,,,,,ばい,,,,,,,,,,,,,,,,,,,
蕓,25543,yún,wan4,,,,3hhyn,うん,,,hangeul=운|eumhun=평지 운|rv=un|mr=un|y=wun,,,,,,,,,,,,,,,,
蕕,25545,yóu,jau4,,,,,ゆう,,,hangeul=유|eumhun=|rv=yu|mr=yu|y=yu,,,,,,,,,,,,,,,,
蕖,25546,qú,keoi4,,,,,きょ,,,hangeul=거|eumhun=|rv=geo|mr=kŏ|y=ke,,,,,,,,,,,,,,,,
蕘,25548,yáo,jiu4,,,giô,,にょう,にょう,じょう,hangeul=요|eumhun=|rv=yo|mr=yo|y=yo,,,,,,,,,,,,,,,,
蕙,25549,huì,wai6,,,,,けい,,,hangeul=혜|eumhun=|rv=hye|mr=hye|y=hyey,,,,,,,,,,,,,,,,
蕛,25551,tí,tai4,,,,,,,,,,,,,,,,,,,,,,,,
