Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
戍,15912,shù,syu3,,,,,じゅ,,,hangeul=[[수]]|eumhun=|rv=su|mr=su|y=swu,,,,,,,,,,,,,,,,
戎,15913,róng,jung4,,,jiông,,じゅう,,,hangeul=융|eumhun=|rv=yung|mr=yung|y=yung,,,,,,,,,,,,,,,,
成,15915,chéng,sing4,sàng,,chhiâⁿ,3zen,じょう,じょう,せい,hangeul=[[성]]|eumhun=|mr=sŏng|y=seng,,,,,,,,,,,,,,,,
我,15916,wǒ,,ngô,ngo1,,3ngu,が,が,が,나|아,,,,,,,,,,,,,,,,
戒,15917,jiè,gaai3,,,kài,,け,け,かい,hangeul=계,,,,,,,,,,,,,,,,
戔,15919,jiān,zin1,,,chân,,ざん,ざん,さん,잔,,,,,,,,,,,,,,,,
戙,15924,dòng,dung6,,,,,,,,,,,,,,,,,,,,,,,,
戚,15925,qī,cik1,,,chhiak,,しゃく,しゃく,せき,hangeul=척|eumhun=|rv=cheok|mr=ch'ŏk|y=chek,,,,,,,,,,,,,,,,
戛,15926,jiá,aat3,,,,,けち,けち,かつ,,,,,,,,,,,,,,,,,
戜,15927,,,,,,,でち,でち,てつ,,,,,,,,,,,,,,,,,
戟,15930,jǐ,gik1,,,kek,,きゃく,きゃく,けき,극,,,,,,,,,,,,,,,,
戠,15931,zhī,zik1,,,,,しき,しき,しょく,hangeul=[[시]]|eumhun=|rv=si|mr=si|y=si,,,,,,,,,,,,,,,,
戡,15932,kān,zam3,,,am,,かん,,,hangeul=감|eumhun=|rv=gam|mr=kam|y=kam,,,,,,,,,,,,,,,,
戢,15933,jí,cap1,,,chhip,,しゅう,,,집,,,,,,,,,,,,,,,,
戣,15934,,,,,,,き,,,,,,,,,,,,,,,,,,,
戤,15935,,,,,,,,,,,,,,,,,,,,,,,,,,
戩,15939,jiǎn,zin2,,,,,せん,,,hangeul=전|eumhun=|rv=jeon|mr=chŏn|y=cen,,,,,,,,,,,,,,,,
戫,15941,yù,wik6,,,,,よく,,,,,,,,,,,,,,,,,,,
戭,15943,,,,,,,,,,,,,,,,,,,,,,,,,,
戮,15944,lù,luk6,,,,,ろく,ろく,りく,hangeul=[[륙]]>[[육]]|eumhun=|rv=ryuk>yuk|mr=ryuk>yuk|y=lyuk>yuk,,,,,,,,,,,,,,,,
戰,15946,zhàn,zin3,chan,,chiàn,2tsoe,せん,せん,せん,hangeul=전|eumhun=|rv=jeon|mr=chŏn|y=cen,,,,,,,,,,,,,,,,
戲,15948,xì,hei3,hi,hi4,hì,2xi,け,け,き,hangeul=희|eumhun=|rv=hui|mr=hŭi|y=huy,,,,,,,,,,,,,,,,
戴,15950,dài,daai3,tai,,tì,2te,たい,たい,たい,hangeul=대|eumhun=|rv=dae|mr=tae|y=tay,,,,,,,,,,,,,,,,
戵,15951,,,,,,,ぐ,,,hangeul=구|eumhun=|rv=gu|mr=ku|y=kwu,,,,,,,,,,,,,,,,
戶,15952,hù,wu6,fu,,,3hhu,ぐ,ぐ,こ,hangeul=호|eumhun=지게,,,,,,,,,,,,,,,,
戸,15954,,,,,,,ぐ,ぐ,こ,,,,,,,,,,,,,,,,,
戹,15955,,,,,,,あく,,,hangeul=액|eumhun=|rv=aek|mr=aek|y=ayk,,,,,,,,,,,,,,,,
戺,15956,shì,si6,,,,,,,,,,,,,,,,,,,,,,,,
戻,15957,tì,,,,,,れい,,,hangeul=[[려]]>[[여]], [[렬]]>[[열]]|eumhun=|rv=ryeo>yeo, ryeol>yeol|mr=ryŏ>yŏ, ryŏl>yŏl|y=lye>ye, lyel>yel,,,,,,,,,,,,
戼,15958,,,,,,,ぼう,,,,,,,,,,,,,,,,,,,
戽,15959,hù,fu3,,,hò͘,,こ,,,,,,,,,,,,,,,,,,,
戾,15960,lì,leoi6,,,,,らい,らい,れい,hangeul=[[려]]>[[여]], [[렬]]>[[열]]|eumhun=|rv=ryeo>yeo, ryeol>yeol|mr=ryŏ>yŏ, ryŏl>yŏl|y=lye>ye, lyel>yel,,,,,,,,,,,,
房,15961,fáng,fong4,fòng,fong2,pâng,3vaan,ぼう,ぼう,ほう,hangeul=방|eumhun=방|rv=bang|mr=pang|y=pang,,,,,,,,,,,,,,,,
所,15962,suǒ,so2,só,so3,,2su,しょ,しょ,そ,hangeul=소|eumhun=바|rv=so|mr=so|y=so,,,,,,,,,,,,,,,,
扁,15963,biǎn,bin2,pién,,pián,2pi,へん,へん,へん,hangeul=[[편]], [[변]]|eumhun=작을|rv=pyeon, byeon|mr=p'yŏn, pyŏn|y=phyen, pyen,,,,,,,,,,,,
扂,15964,diàn,dim3,,,,,てん,,,hangeul=[[점]]|eumhun=,,,,,,,,,,,,,,,,
扃,15965,jiōng,gwing1,,,,,けい,,,경,,,,,,,,,,,,,,,,
扅,15967,yí,ji4,,,,,い,,,,,,,,,,,,,,,,,,,
扆,15968,yǐ,ji2,,,,,い,,,,,,,,,,,,,,,,,,,
扇,15969,shàn,sin3,san,san4,sìⁿ,,せん,せん,せん,hangeul=선|eumhun=,,,,,,,,,,,,,,,,
扈,15970,hù,wu6,,,hǒ͘,,ぐ,ぐ,こ,호,,,,,,,,,,,,,,,,
扉,15971,fēi,fei1,fî,,hui,,ひ,ひ,ひ,hangeul=비|eumhun=|rv=bi|mr=pi|y=pi,,,,,,,,,,,,,,,,
扊,15972,yǎn,jim5,,,,,,,,hangeul=염|eumhun=|rv=yeom|mr=yŏm|y=yem,,,,,,,,,,,,,,,,
手,15973,shǒu,sau2,sú,,chhiú,2seu,しゅ,しゅ,しゅう,손|수,,,,,,,,,,,,,,,,
才,15975,cái,coi4,chhòi,,châi,3ze,ざい,ざい,さい,재주|재,,,,,,,,,,,,,,,,
扎,15976,zhā,zaat3,,,chah,4tsaq,さつ,,,찰,,,,,,,,,,,,,,,,
扏,15977,qiú,kau4,,,,,,,,,,,,,,,,,,,,,,,,
扐,15978,lè,lik1,,,,,ろく,ろく,ろく,,,,,,,,,,,,,,,,,
扑,15979,pū,pok3,,,,,,,,,,,,,,,,,,,,,,,,
扒,15980,bā,baat3,,,pat,,はい,はい,はい,hangeul=배,,,,,,,,,,,,,,,,
扔,15982,rēng,jing4,,,,3zen,じょう,,,,,,,,,,,,,,,,,,,
扚,15988,diǎo,tiu2,,,,,ちょう,,,,,,,,,,,,,,,,,,,
扛,15989,gāng,gong1,,,kong,,こう,,,강,,,,,,,,,,,,,,,,
扜,15990,yū,jyu1,,,,,う,,,,,,,,,,,,,,,,,,,
扝,15991,kū,fu1,,,,,,,,,,,,,,,,,,,,,,,,
扞,15993,hàn,hon2,,,,,かん,,,hangeul=[[한]]|eumhun=|rv=han|mr=han|y=han,,,,,,,,,,,,,,,,
扟,15994,shēn,san1,,,,,,,,,,,,,,,,,,,,,,,,
扠,15995,chā,caa1,,,,,しゃ,しゃ,さ,,,,,,,,,,,,,,,,,
扡,15996,tuō,to1,,,,,,,,,,,,,,,,,,,,,,,,
扢,15997,gǔ,gwat1,,,,,,,,,,,,,,,,,,,,,,,,
扣,15998,kòu,kau3,khieu,,,,く,く,こう,hangeul=구|eumhun=|rv=gu|mr=ku|y=kwu,,,,,,,,,,,,,,,,
扤,15999,wù,ngaat6,,,,,ごつ,,,,,,,,,,,,,,,,,,,
扭,16008,niǔ,nau2,ngiú,,,,じゅう,,,,,,,,,,,,,,,,,,,
扮,16009,bàn,baan6,,,pàn,,へん,へん,はん,hangeul=[[분]], [[반]]|eumhun=|rv=bun, ban|mr=pun, pan|y=pun, pan,,,,,,,,,,,,
扱,16013,chā,caap3,,,,,きゅう,,,hangeul=[[급]], [[삽]]|eumhun=|rv=geup, sap|mr=kŭp, sap|y=kup, sap,,,,,,,,,,,,
扳,16015,bān,baan2,,,pan,,はん,,,hangeul=반|eumhun=|rv=ban|mr=pan|y=pan,,,,,,,,,,,,,,,,
扴,16016,,,,,,,,,,,,,,,,,,,,,,,,,,
扵,16017,,,,,,,,,,,,,,,,,,,,,,,,,,
批,16021,pī,pai1,phî,,,,はい,はい,へい,hangeul=[[비]], [[별]],,,,,,,,,,,,,,,
扺,16022,zhǐ,zi2,,,,,し,し,し,지,,,,,,,,,,,,,,,,
扽,16025,dèn,dan3,,,,,とん,,,,,,,,,,,,,,,,,,,
承,16027,chéng,sing4,sṳ̀n,,sîn,3zen,じょう,じょう,しょう,hangeul=[[승]], [[증]]|eumhun=|rv=seung, jeung|mr=sŭng, jŭng|y=sung, jung,,,,,,,,,,,,
技,16028,jì,gei6,kî,,,3jji,ぎ,ぎ,き,hangeul=기|eumhun=|rv=gi|mr=ki|y=ki,,,,,,,,,,,,,,,,
抁,16029,yǎn,jin5,,,,,,,,,,,,,,,,,,,,,,,,
抃,16031,biàn,bin6,,,,,べん,,,변,,,,,,,,,,,,,,,,
抄,16032,chāo,caau1,chhâu,,chhau,2tshau,しょう,しょう,そう,hangeul=초|eumhun=|rv=cho|mr=ch'o|y=cho,,,,,,,,,,,,,,,,
抇,16035,hú,wat6,,,,,,,,,,,,,,,,,,,,,,,,
抈,16036,yuè,jyut6,,,,,がち,がち,げつ,,,,,,,,,,,,,,,,,
抉,16037,jué,kyut3,,,koat,,けつ,,,hangeul=결|eumhun=|rv=gyeol|mr=kyŏl|y=kyel,,,,,,,,,,,,,,,,
把,16038,bǎ,baa2,pá,ba3,,2po,へ,へ,は,hangeul=파|eumhun=|mr=p'a|y=pha,,,,,,,,,,,,,,,,
抌,16040,dǎn,dam2,,,,,,,,,,,,,,,,,,,,,,,,
抍,16041,zhěng,sing1,,,,,しょう,,,,,,,,,,,,,,,,,,,
抎,16042,yǔn,wan5,,,,,うん,うん,うん,,,,,,,,,,,,,,,,,
抏,16043,wán,jyun4,,,,,がん,,,,,,,,,,,,,,,,,,,
抐,16044,,,,,,,どつ,,,,,,,,,,,,,,,,,,,
抑,16045,yì,jik1,ya,,iak,4iq,よく,,,hangeul=억|eumhun=|rv=eok|mr=ŏk|y=ek,,,,,,,,,,,,,,,,
抒,16046,shū,syu1,,,,,じょ,じょ,しょ,hangeul=[[서]], [[저]]|eumhun=|rv=seo, jeo|mr=sŏ, chŏ|y=se, ce,,,,,,,,,,,,
抓,16047,zhuā,zaau2,,,jiàu,,しょう,しょう,そう,hangeul=조|eumhun=,,,,,,,,,,,,,,,,
抔,16048,póu,pau4,,,,,ぶ,ぶ,ほう,부,,,,,,,,,,,,,,,,
投,16049,tóu,tau4,thèu,,tiô,,ず,ず,とう,hangeul=투,,,,,,,,,,,,,,,,
抗,16051,kàng,kong3,khong,kong4,òng,,こう,こう,こう,hangeul=항|eumhun=|rv=hang|mr=hang|y=hang,,,,,,,,,,,,,,,,
折,16052,zhé,zit3,chak,,chi̍h,,せち,せち,せつ,hangeul=[[절]], [[제]]|eumhun=|rv=jeol, je|mr=chŏl, che|y=cel, cey,,,,,,,,,,,,
抛,16055,,,,,,,ひょう,ひょう,ほう,hangeul=포|eumhun=|rv=po|mr=p'o|y=pho,,,,,,,,,,,,,,,,
抧,16067,zhǐ,zi2,,,,,,,,,,,,,,,,,,,,,,,,
抨,16068,pēng,ping1,phiâng,,iⁿ,1phan,ほう,,,평,,,,,,,,,,,,,,,,
抩,16069,,,,,,,,,,,,,,,,,,,,,,,,,,
抪,16070,bù,bou3,,,,,,,,,,,,,,,,,,,,,,,,
披,16071,pī,pei1,phî,pi1,i,,ひ,ひ,ひ,hangeul=피|eumhun=|rv=pi|mr=p'i|y=phi,,,,,,,,,,,,,,,,
抬,16072,tái,toi4,thòi,,thâi,3de,ち,ち,ち,태,,,,,,,,,,,,,,,,
抭,16073,,,,,,,,,,,,,,,,,,,,,,,,,,
抮,16074,zhěn,zan2,,,,,,,,,,,,,,,,,,,,,,,,
抯,16075,zhā,zaa1,,,,,,,,,,,,,,,,,,,,,,,,
抱,16077,bào,pou5,,pau4,ǒ͘,,ぼう,ぼう,ほう,hangeul=포|eumhun=|rv=po|mr=p'o|y=pho,,,,,,,,,,,,,,,,
抲,16078,hē,ho1,,,,,,,,,,,,,,,,,,,,,,,,
抳,16079,,,,,,,じ,,,,,,,,,,,,,,,,,,,
抵,16081,dǐ,dai2,tí,di3,té,,たい,たい,てい,hangeul=[[저]], [[지]],,,,,,,,,,,,,,,
抶,16082,,,,,,,ちつ,,,,,,,,,,,,,,,,,,,
抹,16085,mǒ,mut3,mat,,boa̍t,,まつ,まつ,ばつ,hangeul=말|eumhun=|rv=mal|mr=mal|y=mal,,,,,,,,,,,,,,,,
抻,16087,chēn,can2,,,,,しん,,,hangeul=신|rv=sin|mr=sin,,,,,,,,,,,,,,,,
押,16088,yā,aap3,ap,,,4aq,きょう,きょう,おう,hangeul=[[압]], [[갑]]|eumhun=|rv=ap, gap|mr=ap, kap|y=ap, kap,,,,,,,,,,,,
抽,16089,chōu,cau1,chhû,,thiu,,ちゅう,ちゅう,ちゅう,hangeul=추|eumhun=|rv=chu|mr=ch'u|y=chwu,,,,,,,,,,,,,,,,
抾,16090,qū,keoi1,,,ioh,,きょ,,,,,,,,,,,,,,,,,,,
拂,16094,fú,fat1,fin,,hut,,びち,びち,ひつ,hangeul=[[불]], [[필]]|eumhun=|rv=bul, pil|mr=pul, p'il|y=pul, phil,,,,,,,,,,,,
拃,16095,zhǎ,zaa6,,,,,,,,,,,,,,,,,,,,,,,,
拄,16096,zhǔ,zyu2,,,tú,,ちゅ,,,hangeul=주|eumhun=|rv=ju|mr=chu|y=cwu,,,,,,,,,,,,,,,,
担,16097,,,,,,,たん,,,hangeul=단|eumhun=|rv=dan|mr=tan|y=tan,,,,,,,,,,,,,,,,
拇,16099,mǔ,mou5,,,bió,,む,む,ぼう,hangeul=무|eumhun=|rv=mu|mr=mu|y=mu,,,,,,,,,,,,,,,,
拉,16101,lā,laai1,lâ,,la,1'la,ろう,ろう,ろう,hangeul=[[랍]]>[[납]],,,,,,,,,,,,,,,,
拊,16102,fǔ,fu2,,,hú,,ふ,ふ,ふ,hangeul=부|eumhun=|rv=bu|mr=pu|y=pu,,,,,,,,,,,,,,,,
拋,16103,pāo,paau1,,,au,,ほう,,,hangeul=포,,,,,,,,,,,,,,,,
拌,16104,bàn,pun3,phân,,pǒaⁿ,,ばん,ばん,はん,hangeul=반|eumhun=|rv=ban|mr=pan|y=pan,,,,,,,,,,,,,,,,
拍,16105,pāi,paak3,phok,,ah,,ひゃく,ひゃく,はく,,,,,,,,,,,,,,,,,
拎,16106,līng,ling1,,,lêng,,れい,,,,,,,,,,,,,,,,,,,
拏,16107,ná,naa4,,,,,だ,,,hangeul=나|eumhun=|rv=na|mr=na|y=na,,,,,,,,,,,,,,,,
拐,16108,guǎi,gwaai2,kóai,,koái,2kua,げ,げ,かい,hangeul=괴,,,,,,,,,,,,,,,,
拑,16109,qián,kim4,,,,,げん,げん,けん,겸,,,,,,,,,,,,,,,,
拒,16110,jù,keoi5,,,kǐr,,ご,ご,きょ,hangeul=[[거]], [[구]]|eumhun=|rv=geo, gu|mr=kŏ, ku|y=ke, kwu,,,,,,,,,,,,
拓,16111,tuò,tok3,,,thok,,たく,,,hangeul=[[척]], [[탁]]|eumhun=|rv=cheok, tak|mr=ch'ŏk, t'ak|y=chek, thak,,,,,,,,,,,,
拔,16112,bá,bat6,pha̍t,,poa̍t,,ばち,ばち,はつ,hangeul=[[발]], [[패]]|eumhun=|rv=bal, pae|mr=pal, p'ae|y=pal, phay,,,,,,,,,,,,
拕,16113,,,,,,,た,,,hangeul=타|eumhun=|rv=ta|mr=t'a|y=tha,,,,,,,,,,,,,,,,
拖,16114,tuō,to1,thô,,tho,,た,,,hangeul=타|eumhun=|rv=ta|mr=t'a|y=tha,,,,,,,,,,,,,,,,
拗,16115,ào,aau3,,,,,よう,よう,おう,hangeul=요|eumhun=|rv=yo|mr=yo|y=yo,,,,,,,,,,,,,,,,
拘,16116,jū,keoi1,,,,,く,く,く,hangeul=구|eumhun=|rv=gu|mr=ku|y=kwu,,,,,,,,,,,,,,,,
拚,16118,pīn,pun3,piang,,piàⁿ,,へん,,,,,,,,,,,,,,,,,,,
招,16119,zhāo,ziu1,chêu,,,,しょう,しょう,しょう,hangeul=[[초]], [[교]]|eumhun=|rv=cho, gyo|mr=ch'o, kyo|y=cho, kyo,,,,,,,,,,,,
拜,16120,bài,baai3,pai,,pài,2pa,へ,へ,はい,hangeul=배|eumhun=|rv=bae|mr=pae|y=pay,,,,,,,,,,,,,,,,
拫,16135,,,,,,,しゅう,,,,,,,,,,,,,,,,,,,
拭,16137,shì,sik1,chhu̍t,,siak,,しき,しき,しょく,hangeul=식|eumhun=|rv=sik|mr=sik|y=sik,,,,,,,,,,,,,,,,
拮,16138,jié,gat1,,,,,きち,きち,きつ,hangeul=[[길]], [[결]]|eumhun=|rv=gil, gyeol|mr=kil, kyŏl|y=kil, kyel,,,,,,,,,,,,
拯,16139,zhěng,cing2,,,,,しょう,しょう,しょう,hangeul=증|eumhun=|rv=jeung|mr=chŭng|y=cung,,,,,,,,,,,,,,,,
拰,16140,nǐn,nam5,,,,,,,,,,,,,,,,,,,,,,,,
拱,16141,gǒng,gung2,,,kióng,,く,く,きょう,hangeul=공|eumhun=|rv=gong|mr=kong|y=kong,,,,,,,,,,,,,,,,
拲,16142,,,,,,,きょう,,,,,,,,,,,,,,,,,,,
拳,16143,quán,kyun4,khièn,kian2,kûn,3jjyoe,げん,げん,けん,hangeul=[[권]]|eumhun=|rv=gwon|mr=kwŏn|y=kwen,,,,,,,,,,,,,,,,
拴,16144,shuān,saan1,,,soan,,せん,,,,,,,,,,,,,,,,,,,
拵,16145,cún,cyun4,,,,,そん,,,hangeul=존|eumhun=|rv=jon|mr=chon|y=con,,,,,,,,,,,,,,,,
拸,16148,yí,ji4,,,,,,,,,,,,,,,,,,,,,,,,
拹,16149,xié,hip3,,,hia̍p,,,,,,,,,,,,,,,,,,,,,
拺,16150,cè,caak3,,,,,,,,,,,,,,,,,,,,,,,,
拼,16152,pīn,ping1,phîn,,eng,1phin,ほう,,,hangeul=병,,,,,,,,,,,,,,,,
拾,16154,shí,sap6,,,si̍p,,じゅう,じゅう,しゅう,hangeul=[[습]], [[십]],,,,,,,,,,,,,,,
持,16161,chí,ci4,,,tî,,じ,じ,ち,hangeul=지,,,,,,,,,,,,,,,,
挂,16162,,,,,,,け,け,かい,hangeul=괘|eumhun=|rv=gwae|mr=kwae|y=kway,,,,,,,,,,,,,,,,
挅,16165,duò,do2,,,,,,,,,,,,,,,,,,,,,,,,
挆,16166,duǒ,do2,,,,,,,,,,,,,,,,,,,,,,,,
指,16167,zhǐ,zi2,chṳ́,zi3,kí,2tsr,し,し,し,hangeul=지,,,,,,,,,,,,,,,,
挈,16168,qiè,kit3,,,iat,,けつ,,,hangeul=[[설]], [[계]]|eumhun=|rv=seol, gye|mr=sŏl, kye|y=sel, kyey,,,,,,,,,,,,
按,16169,àn,on3,on,,àn,2oe,あん,あん,あん,hangeul=[[안]], [[알]]|eumhun=|rv=an, al|mr=an, al|y=an, al,,,,,,,,,,,,
挋,16171,,,,,,,しん,,,,,,,,,,,,,,,,,,,
挌,16172,gé,gaak3,,,,,きゃく,きゃく,かく,hangeul=격|eumhun=|rv=gyeok|mr=kyŏk|y=kyek,,,,,,,,,,,,,,,,
挎,16174,kuà,kwaa3,,,òa,,,,,,,,,,,,,,,,,,,,,
挏,16175,,,,,,,,,,,,,,,,,,,,,,,,,,
挐,16176,rú,jyu4,,,,,だ,,,hangeul=[[나]], [[녀]]>[[여]]|eumhun=|rv=na, nyeo>yeo|mr=na, nyŏ>yŏ|y=na, nye>ye,,,,,,,,,,,,
挑,16177,tiāo,tou1,thiâu,,thiau,,ちょう,ちょう,ちょう,hangeul=[[도]], [[조]]|eumhun=|rv=do, jo|mr=to, cho|y=to, co,,,,,,,,,,,,
挒,16178,,,,,,,,,,hangeul=[[련]]>[[연]]|eumhun=|rv=ryeon>yeon|mr=ryŏn>yŏn|y=lyen>yen,,,,,,,,,,,,,,,,
挨,16200,āi,aai1,âi,,,1a,え,え,あい,hangeul=애|eumhun=|mr=ae|y=ay,,,,,,,,,,,,,,,,
挩,16201,tuō,seoi3,,,òe,,たつ,,,,,,,,,,,,,,,,,,,
挪,16202,nuó,no4,,,nó͘,,だ,,,hangeul=[[나]]|eumhun=|rv=na|mr=na|y=na,,,,,,,,,,,,,,,,
挫,16203,cuò,co3,,,chhò,,さ,さ,さ,좌,,,,,,,,,,,,,,,,
挬,16204,bó,but6,,,,,,,,,,,,,,,,,,,,,,,,
挭,16205,,,,,,,こう,,,,,,,,,,,,,,,,,,,
挮,16206,tǐ,tai2,,,,,,,,,,,,,,,,,,,,,,,,
振,16207,zhèn,zan3,,,,,しん,しん,しん,hangeul=진|eumhun=|mr=chin|y=cin,,,,,,,,,,,,,,,,
挰,16208,,,,,,,,,,,,,,,,,,,,,,,,,,
挱,16209,,,,,,,,,,,,,,,,,,,,,,,,,,
挲,16210,suō,so1,,,so,,,,,,,,,,,,,,,,,,,,,
挴,16212,měi,mui5,,,,,,,,,,,,,,,,,,,,,,,,
挶,16214,,,,,,,きょく,,,,,,,,,,,,,,,,,,,
挸,16216,jiǎn,gaan2,,,,,,,,,,,,,,,,,,,,,,,,
挹,16217,yì,jap1,,,iap,,ゆう,,,hangeul=읍|eumhun=|rv=eup|mr=ŭp|y=up,,,,,,,,,,,,,,,,
挺,16224,tǐng,ting5,,,,,じょう,じょう,てい,hangeul=정|eumhun=|rv=jeong|mr=chŏng|y=ceng,,,,,,,,,,,,,,,,
挻,16225,shān,saan1,,,,,せん,,,hangeul=연|eumhun=|rv=yeon|mr=yŏn|y=yen,,,,,,,,,,,,,,,,
挼,16226,ruó,no4,nò,,,,だ,,,,,,,,,,,,,,,,,,,
挽,16227,wǎn,waan5,,,boán,,もん,もん,ばん,hangeul=만,,,,,,,,,,,,,,,,
挾,16228,xié,hip6,kia̍p,,hia̍p,,ぎょう,ぎょう,きょう,hangeul=협|eumhun=|rv=hyeop|mr=hyŏp|y=hyep,,,,,,,,,,,,,,,,
捀,16230,féng,fung4,,,âng,,,,,,,,,,,,,,,,,,,,,
捂,16232,wǔ,wu2,,,ngō͘,,ご,,,hangeul=오|eumhun=|rv=o|mr=o|y=o,,,,,,,,,,,,,,,,
捃,16233,jùn,kwan2,,,,,くん,,,hangeul=군|eumhun=|rv=gun|mr=kun|y=kwun,,,,,,,,,,,,,,,,
捄,16234,jū,,,,,,きゅう,,,hangeul=구|eumhun=|rv=gu|mr=ku|y=kwu,,,,,,,,,,,,,,,,
捅,16235,tǒng,tung2,,,thóng,,,,,,,,,,,,,,,,,,,,,
捇,16237,huò,waak6,,,,,,,,,,,,,,,,,,,,,,,,
捈,16238,tú,tou4,,,,,,,,,,,,,,,,,,,,,,,,
捉,16239,zhuō,zuk1,chok,,,4tsoq,そく,そく,さく,hangeul=착|eumhun=|rv=chak|mr=ch'ak|y=chak,,,,,,,,,,,,,,,,
捊,16240,póu,pau4,,,,,ほう,,,,,,,,,,,,,,,,,,,
捋,16241,lǚ,lyut3,lo̍t,,loah,,らつ,,,,,,,,,,,,,,,,,,,
捌,16242,bā,baat3,,,,,はつ,,,hangeul=팔|eumhun=|rv=pal|mr=p'al|y=phal,,,,,,,,,,,,,,,,
捍,16243,hàn,hon6,hon,,hān,,がん,がん,かん,hangeul=한|eumhun=|rv=han|mr=han|y=han,,,,,,,,,,,,,,,,
捎,16244,shāo,saau1,sêu,,sau,,そう,,,hangeul=소|eumhun=|rv=so|mr=so|y=so,,,,,,,,,,,,,,,,
捏,16245,niē,nip6,,,lia̍t,,ねつ,ねつ,でつ,hangeul=날|eumhun=|rv=nal|mr=nal|y=nal,,,,,,,,,,,,,,,,
捐,16246,juān,gyun1,kiên,,koan,,えん,えん,えん,hangeul=연|eumhun=|rv=yeon|mr=yŏn|y=yen,,,,,,,,,,,,,,,,
捒,16248,shù,,,,,,しょう,,,,,,,,,,,,,,,,,,,
捔,16250,zhuó,gok3,,,,,かく,,,,,,,,,,,,,,,,,,,
捕,16251,bǔ,bou6,,,pô͘,,ぶ,ぶ,ほ,hangeul=포|eumhun=|rv=po|mr=p'o|y=pho,,,,,,,,,,,,,,,,
捖,16252,wán,gwaat3,,,,,,,,,,,,,,,,,,,,,,,,
捘,16254,,,,,,,そん,,,hangeul=준|rv=jun|mr=chun,,,,,,,,,,,,,,,,
捠,16262,,,,,,,,,,,,,,,,,,,,,,,,,,
捥,16267,wàn,wun2,,,,,わん,,,hangeul=완|rv=wan|mr=wan,,,,,,,,,,,,,,,,
捦,16268,,,,,,,きん,,,,,,,,,,,,,,,,,,,
捨,16270,shě,se2,sá,,siá,,しゃ,,,hangeul=사|eumhun=|rv=sa|mr=sa|y=sa,,,,,,,,,,,,,,,,
捩,16271,liè,lit6,lit,,le̍h,,らい,らい,れい,hangeul=[[렬]]>[[열]]|eumhun=|rv=ryeol>yeol|mr=ryŏl>yŏl|y=lyel>yel,,,,,,,,,,,,,,,,
捫,16273,mén,mun4,,,,,もん,もん,ぼん,문,,,,,,,,,,,,,,,,
捭,16275,bǎi,baai2,,,,,はい,,,,,,,,,,,,,,,,,,,
据,16276,jū,geoi1,,,,,きょ,,,hangeul=거|eumhun=|rv=geo|mr=kŏ|y=ke,,,,,,,,,,,,,,,,
捲,16280,juǎn,gyun2,kién,,kńg,2jyoe,けん,,,hangeul=권|eumhun=|rv=gwon|mr=kwŏn|y=kwen,,,,,,,,,,,,,,,,
捳,16281,,,,,,,,,,,,,,,,,,,,,,,,,,
捶,16284,chuí,ceoi4,chhùi,,tûi,,すい,すい,すい,hangeul=추|eumhun=|rv=chu|mr=ch'u|y=chwu,,,,,,,,,,,,,,,,
捷,16285,jié,zit6,,,chia̍p,,しょう,,,hangeul=첩|eumhun=|rv=cheop|mr=ch'ŏp|y=chep,,,,,,,,,,,,,,,,
捺,16288,nà,naat6,,,la̍t,,なち,なち,だつ,날,,,,,,,,,,,,,,,,
捻,16289,niǎn,nim2,,,liàm,,にょう,にょう,じょう,hangeul=[[념]]>[[염]], [[녑]]>[[엽]]|eumhun=|rv=nyeom>yeom, nyeop>yeop|mr=nyŏm>yŏm, nyŏp>yŏp|y=nyem>yem, nyep>yep,,,,,,,,,,,,
捽,16291,zuó,cyut3,,,sut,,そち,そち,そつ,hangeul=졸|rv=jol|mr=chol,,,,,,,,,,,,,,,,
捾,16292,wò,wut6,,,,,,,,,,,,,,,,,,,,,,,,
掀,16294,xiān,hin1,hiên,hian1,hian,,こん,こん,けん,hangeul=흔|eumhun=|rv=heun|mr=hŭn|y=hun,,,,,,,,,,,,,,,,
掁,16295,,,,,,,,,,,,,,,,,,,,,,,,,,
掃,16297,sǎo,sou3,so,,sàu,2sau,そう,そう,そう,hangeul=소|eumhun=쓸 소|rv=so|mr=so|y=so,,,,,,,,,,,,,,,,
掄,16298,lún,leon4,,,lûn,,ろん,,,hangeul=[[륜]]>[[윤]]|eumhun=|rv=ryun>yun|mr=ryun>yun|y=lyun>yun,,,,,,,,,,,,,,,,
掅,16299,qìng,cing3,,,,,,,,,,,,,,,,,,,,,,,,
掆,16300,,,,,,,,,,,,,,,,,,,,,,,,,,
掇,16301,duō,zyut3,,,,,たつ,,,hangeul=철|eumhun=|rv=cheol|mr=ch'ŏl|y=chel,,,,,,,,,,,,,,,,
授,16302,shòu,sau6,su,,siū,3zeu,じゅ,じゅ,しゅう,hangeul=수|eumhun=|rv=su|mr=su|y=swu,,,,,,,,,,,,,,,,
掉,16303,diào,diu6,thet,,tiāu,,じょう,じょう,ちょう,도,,,,,,,,,,,,,,,,
