,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
59,万,8656.0,mò,mak6,,,,,もん,もん,ばん,만,,,,,,,,,,,,,,,,
60,最,8677.0,zuì,zeoi3,chui,,chòe,2tsoe,さい,さい,さい,hangeul=최|eumhun=|rv=choe|mr=ch'oe|y=choy,,,,,,,,,,,,,,,,
61,近,8683.0,jìn,kan5,khiun,,,3jjin,ごん,ごん,きん,hangeul=근|eumhun=|mr=kŭn|y=kun,,,,,,,,,,,,,,,,
62,n,8698.0,ēn,en1,,,,,,,,,,,,,,,,,,,,,,,,
63,烈,8715.0,liè,lit6,lie̍t,,lia̍t,,れち,れち,れつ,hangeul=[[렬]]>[[열]]|eumhun=|rv=ryeol>yeol|mr=ryŏl>yŏl|y=lyel>yel,,,,,,,,,,,,,,,,
64,造,8732.0,zào,zou6,chho,,,3zau,ぞう,ぞう,そう,hangeul=조|eumhun=,,,,,,,,,,,,,,,,
65,刀,8840.0,dāo,dou1,tô,,to,1tau,と,と,とう,hangeul=도|eumhun=칼,,,,,,,,,,,,,,,,
66,萬,8867.0,wàn,maan6,van,van4,bān,3me,もん,もん,ばん,hangeul=만|eumhun=만,,,,,,,,,,,,,,,,
67,何,8945.0,hé,ho4,hò,,hô,3hhu,が,が,か,hangeul=하,,,,,,,,,,,,,,,,
68,心,9067.0,xīn,sam1,sîm,,sim,1xin,しん,しん,しん,마음|심,,,,,,,,,,,,,,,,
69,日,9296.0,rì,jat6,ngit,ngid5,,5nyiq,にち,にち,じつ,날|일,,,,,,,,,,,,,,,,
70,白,9302.0,bái,baak6,pha̍k,pag6,,5baq,びゃく,びゃく,はく,,,,,,,,,,,,,,,,,
71,年,9307.0,nián,nin4,ngièn,ngian2,nî,3nyi,ねん,ねん,でん,,,,,,,,,,,,,,,,,
72,曜,9308.0,yào,jiu6,,,iāu,,よう,よう,よう,요,,,,,,,,,,,,,,,,
73,南,9311.0,nán,naam4,nàm,,lâm,3noe,なん,なん,だん,hangeul=남|eumhun=남녘,,,,,,,,,,,,,,,,
74,東,9312.0,dōng,dung1,tûng,,tang,1ton,つう,つう,とう,동녘|동,,,,,,,,,,,,,,,,
75,北,9313.0,běi,bak1,pet,,pak,4poq,ほく,ほく,ほく,북녘|북,,,,,,,,,,,,,,,,
76,隶,9576.0,,,,,,,い,い,い,hangeul=[[이]], [[시]], [[제]], [[대]], [[태]]|eumhun=|rv=i, si, je, dae, tae|mr=i, si, che, tae, t'ae|y=i, si, cey, tay, thay
77,文,9660.0,wén,man4,vùn,vun2,bûn,3ven,もん,もん,ぶん,,,,,,,,,,,,,,,,,
78,森,9667.0,sēn,sam1,,,serm,,しん,しん,しん,hangeul=삼|eumhun=숲|rv=sam|mr=sam|y=sam,,,,,,,,,,,,,,,,
79,酒,9732.0,jiǔ,zau2,chiú,jiu3,chiú,2jieu,しゅ,しゅ,しゅう,hangeul=주,,,,,,,,,,,,,,,,
80,火,9837.0,huǒ,fo2,fó,fo3,,2hu,か,か,か,,,,,,,,,,,,,,,,,
81,柄,9848.0,bǐng,beng3,,,,,ひょう,ひょう,へい,hangeul=[[병]]|eumhun=|rv=byeong|mr=pyŏng|y=pyeng,,,,,,,,,,,,,,,,
82,中,9872.0,zhōng,zung1,chûng,zung1,tiong,1tson,ちゅう,ちゅう,ちゅう,,,,,,,,,,,,,,,,,
83,雨,9885.0,yǔ,jyu5,yí,i3,,3hhy,う,う,う,,,,,,,,,,,,,,,,,
84,㐁,10075.0,tiàn,tim2,,,,,てん,てん,てん,hangeul=첨|rv=cheom|mr=ch'ŏm|y=chem|eumhun=핥다|ehrv=halda|ehmr=halta|ehy=halthta,,,,,,,,,,,,,,,,
