,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
7641,羶,24006.0,shān,zin1,,,,,せん,,,hangeul=전|eumhun=|rv=jeon|mr=chŏn|y=cen,,,,,,,,,,,,,,,,
7642,羷,24008.0,liǎn,,,,,,,,,,,,,,,,,,,,,,,,,
7643,羸,24009.0,léi,leoi4,,,,,るい,,,hangeul=[[리]]>[[이]]|eumhun=|rv=ri>i|mr=ri>i|y=li>i,,,,,,,,,,,,,,,,
7644,羹,24011.0,gēng,gang1,,,,,きょう,きょう,こう,hangeul=갱|eumhun=|rv=gaeng|mr=kaeng|y=kayng,,,,,,,,,,,,,,,,
7645,羺,24012.0,nóu,,,,,,,,,,,,,,,,,,,,,,,,,
7646,羻,24013.0,qiàng,,,,,,,,,,,,,,,,,,,,,,,,,
7647,羼,24014.0,chàn,caan3,,,,,さん,,,,,,,,,,,,,,,,,,,
7648,羽,24015.0,yǔ,jyu5,yí,,,3hhy,う,う,う,hangeul=우,,,,,,,,,,,,,,,,
7649,羾,24017.0,chōng,hung4,,,,,,,,,,,,,,,,,,,,,,,,
7650,羿,24018.0,yì,ngai6,,,,,げい,,,,,,,,,,,,,,,,,,,
7651,翁,24020.0,wēng,jung1,vûng,vung1,ang,1on,う,う,おう,hangeul=옹|eumhun=|rv=ong|mr=ong|y=ong,,,,,,,,,,,,,,,,
7652,翃,24022.0,hóng,wang4,,,hông,,こう,,,,,,,,,,,,,,,,,,,
7653,翄,24023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7654,翅,24024.0,chì,ci3,,,chhì,2tsr,し,し,し,hangeul=시,,,,,,,,,,,,,,,,
7655,翇,24026.0,fú,fat1,,,,,,,,,,,,,,,,,,,,,,,,
7656,翈,24027.0,xiá,,,,,,こう,,,,,,,,,,,,,,,,,,,
7657,翉,24028.0,pěn,pun2,,,,,,,,,,,,,,,,,,,,,,,,
7658,翊,24030.0,yì,jik6,,,,,よく,,,hangeul=익|eumhun=|rv=ik|mr=ik|y=ik,,,,,,,,,,,,,,,,
7659,翌,24032.0,yì,jik6,,,e̍k,,よく,,,hangeul=익|eumhun=|rv=ik|mr=ik|y=ik,,,,,,,,,,,,,,,,
7660,翍,24033.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7661,翎,24034.0,líng,ling4,,,lêng,,れい,,,hangeul=[[령]]>[[영]]|eumhun=|rv=ryeong>yeong|mr=ryŏng>yŏng|y=lyeng>yeng,,,,,,,,,,,,,,,,
7662,翏,24035.0,liù,liu6,,,liâu,,りゅう,,,hangeul=료|rv=ryo|mr=ryo|y=lyo,,,,,,,,,,,,,,,,
7663,翐,24036.0,qiào,dit6,,,,,,,,,,,,,,,,,,,,,,,,
7664,翑,24037.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7665,習,24038.0,xí,zaap6,si̍p,xib6,si̍p,5xxiq,じゅう,じゅう,しゅう,hangeul=습|eumhun=|mr=sŭp|y=sup,,,,,,,,,,,,,,,,
7666,翓,24039.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7667,翔,24040.0,xiáng,coeng4,,,,,ぞう,ぞう,しょう,hangeul=상|eumhun=|rv=sang|mr=sang|y=sang,,,,,,,,,,,,,,,,
7668,翖,24042.0,xī,,,,,,,,,hangeul=흡|eumhun=|rv=heup|mr=hŭp|y=hup,,,,,,,,,,,,,,,,
7669,翛,24049.0,xiāo,siu1,,,,,ゆう,,,hangeul=소|eumhun=|rv=so|mr=so|y=so,,,,,,,,,,,,,,,,
7670,翜,24050.0,shà,saap3,,,,,,,,,,,,,,,,,,,,,,,,
7671,翟,24054.0,dí,dik6,,,tia̍k,,けき,,,hangeul=[[적]], [[책]]|eumhun=|rv=jeok, chaek|mr=chŏk, ch'aek|y=cek, chayk,,,,,,,,,,,,
7672,翠,24055.0,cuì,ceoi3,,,chhùi,,すい,すい,すい,hangeul=취|eumhun=|rv=chwi|mr=ch'wi|y=chwi,,,,,,,,,,,,,,,,
7673,翡,24056.0,fěi,fei2,,,húi,,ひ,ひ,ひ,hangeul=비|eumhun=|rv=bi|mr=pi|y=pi,,,,,,,,,,,,,,,,
7674,翢,24057.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7675,翣,24058.0,,,,,,,そう,,,hangeul=삽|eumhun=|rv=sap|mr=sap|y=sap,,,,,,,,,,,,,,,,
7676,翦,24061.0,jiǎn,zin2,,,,,せん,,,hangeul=전|eumhun=|rv=jeon|mr=chŏn|y=cen,,,,,,,,,,,,,,,,
7677,翧,24062.0,xuān,,,,,,,,,,,,,,,,,,,,,,,,,
7678,翨,24063.0,shì,ci3,,,,,し,,,,,,,,,,,,,,,,,,,
7679,翩,24064.0,piān,pin1,,,ian,,へん,へん,へん,hangeul=편|eumhun=|rv=pyeon|mr=p'yŏn|y=phyen,,,,,,,,,,,,,,,,
7680,翪,24065.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7681,翬,24067.0,huī,fai1,,,,,き,,,hangeul=휘|eumhun=|rv=hwi|mr=hwi|y=hwi,,,,,,,,,,,,,,,,
7682,翭,24068.0,hóu,hau4,,,,,,,,,,,,,,,,,,,,,,,,
7683,翮,24069.0,hé,,,,,,かく,,,hangeul=핵|eumhun=|rv=haek|mr=haek|y=hayk,,,,,,,,,,,,,,,,
7684,翯,24070.0,hè,hok6,,,,,かく,,,,,,,,,,,,,,,,,,,
7685,翰,24071.0,hàn,hon6,hon,,hān,3hhoe,がん,がん,かん,hangeul=한|eumhun=|rv=han|mr=han|y=han,,,,,,,,,,,,,,,,
7686,翲,24073.0,piāo,,,,,,ひょう,,,,,,,,,,,,,,,,,,,
7687,翳,24074.0,yì,ai3,,i1,,,あい,あい,えい,예,,,,,,,,,,,,,,,,
7688,翴,24075.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7689,翵,24076.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7690,翷,24078.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7691,翺,24081.0,,,,,,,ごう,,,hangeul=고|eumhun=|rv=go|mr=ko|y=ko,,,,,,,,,,,,,,,,
7692,翻,24082.0,fān,faan1,fân,,hoan,1fe,ほん,ほん,はん,hangeul=[[번]]|eumhun=|rv=beon|mr=pŏn|y=pen,,,,,,,,,,,,,,,,
7693,翼,24083.0,yì,jik6,yi̍t,yid6,si̍t,5hhiq,いき,いき,よく,hangeul=익|eumhun=|mr=ik|y=ik,,,,,,,,,,,,,,,,
7694,翽,24084.0,huì,wai3,,,,,け,,,,,,,,,,,,,,,,,,,
7695,翾,24085.0,,,,,,,けん,,,hangeul=현|eumhun=|rv=hyeon|mr=hyŏn|y=hyen,,,,,,,,,,,,,,,,
7696,翿,24086.0,dào,tou4,,,,,とう,,,,,,,,,,,,,,,,,,,
7697,耀,24087.0,yào,jiu6,yeu,iau4,,,よう,,,hangeul=요|eumhun=|rv=yo|mr=yo|y=yo,,,,,,,,,,,,,,,,
7698,老,24088.0,lǎo,lou5,ló,lau3,,3lau,ろう,ろう,ろう,hangeul=[[로]]>[[노]],,,,,,,,,,,,,,,,
7699,考,24090.0,kǎo,haau2,kháu,kau3,óⁿ,,こう,こう,こう,생각하다|생각할|고,,,,,,,,,,,,,,,,
7700,耄,24091.0,mào,mou6,,,mō͘,,もう,,,hangeul=모|eumhun=|rv=mo|mr=mo|y=mo,,,,,,,,,,,,,,,,
7701,者,24092.0,zhě,ze2,chá,,chiá,2tse,しゃ,しゃ,しゃ,hangeul=자|eumhun=|rv=ja|mr=cha|y=ca,,,,,,,,,,,,,,,,
7702,耆,24093.0,qí,kei4,,,,,ぎ,ぎ,き,hangeul=[[기]], [[치]]|eumhun=|rv=gi, chi|mr=ki, ch'i|y=ki, chi,,,,,,,,,,,,
7703,耇,24094.0,gǒu,gau2,,,,,こう,,,hangeul=구|eumhun=|rv=gu|mr=ku|y=kwu,,,,,,,,,,,,,,,,
7704,耋,24098.0,dié,dit6,,,,,てつ,,,hangeul=질|rv=jil|mr=chil,,,,,,,,,,,,,,,,
7705,而,24099.0,ér,ji4,yì,,,3hher,に,に,じ,hangeul=이|eumhun=|rv=i|mr=i|y=i,,,,,,,,,,,,,,,,
7706,耎,24101.0,ruǎn,jyun5,,,,,ねん,ねん,ぜん,hangeul=연|eumhun=|rv=yeon|mr=yŏn|y=yen,,,,,,,,,,,,,,,,
7707,耏,24102.0,ér,ji4,,,,,じ,,,,,,,,,,,,,,,,,,,
7708,耐,24103.0,nài,noi6,nai,,nāi,,ない,ない,だい,,,,,,,,,,,,,,,,,
7709,耒,24105.0,lěi,leoi6,lói,,lúi,,らい,,,hangeul=[[뢰]]>[[뇌]]|eumhun=|rv=roe>noe|mr=roe>noe|y=loy>noy,,,,,,,,,,,,,,,,
7710,耔,24107.0,zǐ,zi2,,,,,し,,,hangeul=자|eumhun=|rv=ja|mr=cha|y=ca,,,,,,,,,,,,,,,,
7711,耕,24108.0,gēng,gaang1,kâng,,keng,1kan,きょう,きょう,こう,hangeul=경|eumhun=|rv=gyeong|mr=kyŏng|y=kyeng,,,,,,,,,,,,,,,,
7712,耖,24109.0,chào,caau3,,,,,しょう,しょう,そう,hangeul=초|eumhun=|rv=cho|mr=ch'o|y=cho,,,,,,,,,,,,,,,,
7713,耗,24110.0,hào,hou3,,,hòⁿ,,こう,こう,こう,hangeul=모,,,,,,,,,,,,,,,,
7714,耘,24111.0,yún,wan4,,,,,うん,うん,うん,hangeul=[[운]]|eumhun=|rv=un|mr=un|y=wun,,,,,,,,,,,,,,,,
7715,耚,24113.0,pī,,,,,,,,,,,,,,,,,,,,,,,,,
7716,耜,24115.0,sì,zi6,,,,,し,,,,,,,,,,,,,,,,,,,
7717,耠,24119.0,huō,hap6,,,,,こう,,,,,,,,,,,,,,,,,,,
7718,耡,24120.0,chú,co4,,,,,じょ,,,hangeul=서|eumhun=|rv=seo|mr=sŏ|y=se,,,,,,,,,,,,,,,,
7719,耣,24122.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7720,耤,24123.0,jí,zik6,,,,,せき,,,hangeul=적|eumhun=|rv=jeok|mr=chŏk|y=cek,,,,,,,,,,,,,,,,
7721,耦,24125.0,ǒu,ngau5,,,,,ごう,,,hangeul=우|eumhun=|rv=u|mr=u|y=wu,,,,,,,,,,,,,,,,
7722,耩,24128.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7723,耫,24130.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7724,耬,24131.0,lóu,lau4,,,,,ろう,,,hangeul=[[루]]>[[누]]|eumhun=|rv=ru>nu|mr=ru>nu|y=lwu>nwu,,,,,,,,,,,,,,,,
7725,耰,24135.0,,,,,,,ゆう,,,hangeul=우|eumhun=|rv=u|mr=u|y=wu,,,,,,,,,,,,,,,,
7726,耳,24138.0,ěr,ji5,ngí,ngi3,,3nyi,に,に,じ,,,,,,,,,,,,,,,,,
7727,耴,24139.0,zhé,zip3,,,,,ちょう,,,,,,,,,,,,,,,,,,,
7728,耶,24141.0,yé,je4,yà,,iâ,3hhia,や,や,や,hangeul=야|eumhun=|rv=ya|mr=ya|y=ya,,,,,,,,,,,,,,,,
7729,耷,24142.0,dā,daap3,,,,,とう,,,,,,,,,,,,,,,,,,,
7730,耹,24144.0,qín,,,,,,ごん,ごん,きん,,,,,,,,,,,,,,,,,
7731,耺,24145.0,yún,,,,,,うん,うん,うん,,,,,,,,,,,,,,,,,
7732,耽,24148.0,dān,daam1,,,tam,,とん,とん,たん,hangeul=[[탐]], [[담]]|eumhun=|rv=tam, dam|mr=t'am, tam|y=tham, tam,,,,,,,,,,,,
7733,耾,24149.0,hóng,wang4,,,hông,,こう,,,,,,,,,,,,,,,,,,,
7734,耿,24150.0,gěng,gwing2,,,kéng,,きょう,きょう,こう,hangeul=경|eumhun=|rv=gyeong|mr=kyŏng|y=kyeng,,,,,,,,,,,,,,,,
7735,聃,24154.0,,,,,,,,,,hangeul=담|eumhun=|rv=dam|mr=tam|y=tam,,,,,,,,,,,,,,,,
7736,聅,24156.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7737,聆,24157.0,líng,ling4,,,lêng,,りょう,りょう,れい,hangeul=[[령]]>[[영]]|eumhun=|rv=ryeong>yeong|mr=ryŏng>yŏng|y=leyng>eyng,,,,,,,,,,,,,,,,
7738,聉,24160.0,zhuó,,,,,,,,,,,,,,,,,,,,,,,,,
7739,聊,24161.0,liáo,liu4,liau,,liâu,3liau,りょう,りょう,りょう,hangeul=[[료]], [[요]],,,,,,,,,,,,,,,
7740,聎,24165.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7741,聐,24167.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7742,聑,24168.0,tiē,dip3,,,,,,,,,,,,,,,,,,,,,,,,
7743,聒,24169.0,guō,kut3,,,,,かつ,,,hangeul=괄|eumhun=|rv=gwal|mr=kwal|y=kwal,,,,,,,,,,,,,,,,
7744,聖,24174.0,shèng,sing3,sṳn,,sèng,2sen,しょう,しょう,せい,성,,,,,,,,,,,,,,,,
7745,聙,24177.0,jīng,,,,,,,,,,,,,,,,,,,,,,,,,
7746,聚,24178.0,jù,zeoi6,chhi,qi4,,3xxy,ず,ず,しゅ,hangeul=취|eumhun=|rv=chwi|mr=ch'wi|y=chwi,,,,,,,,,,,,,,,,
7747,聝,24181.0,guó,gwik1,,,,,,,,,,,,,,,,,,,,,,,,
7748,聞,24182.0,wén,man4,vùn,,bûn,3men,もん,もん,ぶん,hangeul=문|eumhun=[[듣다|들을]] 문|rv=mun|mr=mun|y=mun,,,,,,,,,,,,,,,,
7749,聤,24188.0,tíng,,,,,,てい,,,,,,,,,,,,,,,,,,,
7750,聥,24189.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7751,聦,24190.0,,,,,,,す,す,そう,,,,,,,,,,,,,,,,,
7752,聭,24198.0,,,,,,,き,,,,,,,,,,,,,,,,,,,
7753,聯,24200.0,lián,lyun4,lièn,,liân,3li,れん,れん,れん,hangeul=[[련]]>[[연]],,,,,,,,,,,,,,,,
7754,聱,24203.0,áo,ngou4,,,,,ごう,,,hangeul=오|eumhun=|rv=o|mr=o|y=o,,,,,,,,,,,,,,,,
7755,聲,24204.0,shēng,sing1,sâng,sang1,seng,1sen,しょう,しょう,せい,hangeul=성,,,,,,,,,,,,,,,,
7756,聳,24205.0,sǒng,sung2,,,sióng,,しょう,,,hangeul=용|eumhun=|rv=yong|mr=yong|y=yong,,,,,,,,,,,,,,,,
7757,聵,24212.0,kuì,kui2,,,,,がい,,,hangeul=외|eumhun=|rv=oe|mr=oe|y=oy,,,,,,,,,,,,,,,,
7758,聶,24213.0,niè,nip6,,,liap,,にょう,にょう,じょう,hangeul=섭|eumhun=|rv=seop|mr=sŏp|y=sep,,,,,,,,,,,,,,,,
7759,職,24214.0,zhí,zik1,chṳt,,chiak,4tseq,しき,しき,しょく,hangeul=직|eumhun=|rv=jik|mr=chik|y=cik,,,,,,,,,,,,,,,,
7760,聸,24215.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7761,聹,24216.0,níng,ning4,,,,,でい,,,,,,,,,,,,,,,,,,,
7762,聻,24218.0,jī,,,,,,,,,,,,,,,,,,,,,,,,,
7763,聽,24221.0,tīng,teng1,thâng,,thiaⁿ,1thin,ちょう,ちょう,てい,듣다|들을|청,,,,,,,,,,,,,,,,
7764,聾,24223.0,lóng,lung4,lûng,,lông,,ろう,,,hangeul=[[롱]]>[[농]]|eumhun=|rv=rong>nong|mr=rong>nong|y=long>nong,,,,,,,,,,,,,,,,
7765,聿,24224.0,yù,jyut6,lu̍t,,u̍t,,いつ,,,붓|율,,,,,,,,,,,,,,,,
7766,肁,24227.0,,,,,,,ちょう,,,,,,,,,,,,,,,,,,,
7767,肂,24228.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7768,肄,24230.0,yì,ji6,,,ī,,い,,,hangeul=이|eumhun=|rv=i|mr=i|y=i,,,,,,,,,,,,,,,,
7769,肅,24231.0,sù,suk1,,,,,すく,すく,しゅく,hangeul=숙|eumhun=|rv=suk|mr=suk|y=swuk,,,,,,,,,,,,,,,,
7770,肆,24232.0,sì,si3,,,sìr,,し,,,사,,,,,,,,,,,,,,,,
7771,肇,24233.0,zhào,siu6,,,tiǎu,,ちょう,,,hangeul=조|eumhun=|mr=cho|y=co,,,,,,,,,,,,,,,,
7772,肉,24235.0,ròu,juk6,ngiuk,ngiug5,,5nyoq,にく,にく,じく,고기|육,,,,,,,,,,,,,,,,
7773,肊,24236.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7774,肌,24238.0,jī,gei1,,,ki,,き,き,き,hangeul=기|eumhun=|rv=gi|mr=ki|y=ki,,,,,,,,,,,,,,,,
7775,肍,24239.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7776,肎,24240.0,,,,,,,こう,,,,,,,,,,,,,,,,,,,
7777,肑,24243.0,bó,,,,,,,,,,,,,,,,,,,,,,,,,
7778,肒,24244.0,huàn,,,,,,,,,,,,,,,,,,,,,,,,,
7779,肓,24245.0,huāng,fong1,,,,,こう,,,hangeul=황|eumhun=|rv=hwang|mr=hwang|y=hwang,,,,,,,,,,,,,,,,
7780,肔,24246.0,chǐ,,,,,,,,,,,,,,,,,,,,,,,,,
7781,肕,24247.0,rèn,jan6,,,,,,,,,,,,,,,,,,,,,,,,
7782,肖,24248.0,xiào,ciu3,,,siau,,しょう,しょう,しょう,hangeul=[[초]], [[소]]|eumhun=|rv=cho, so|mr=ch'o, so|y=cho, so,,,,,,,,,,,,
7783,肗,24249.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7784,肘,24250.0,zhǒu,zau2,,,tiú,,ちゅう,ちゅう,ちゅう,주,,,,,,,,,,,,,,,,
7785,肙,24251.0,yuàn,jyun1,,,oan,,えん,,,hangeul=연|eumhun=|rv=yeon|mr=yŏn|y=yen,,,,,,,,,,,,,,,,
7786,肚,24252.0,dù,tou5,tú,du3,tǒ͘,3du,と,,,hangeul=두|eumhun=|rv=du|mr=tu|y=twu,,,,,,,,,,,,,,,,
7787,肛,24253.0,gāng,gong1,,,kong,,こう,こう,こう,hangeul=항|eumhun=|rv=hang|mr=hang|y=hang,,,,,,,,,,,,,,,,
7788,肜,24254.0,róng,jung4,,,,,ゆう,,,,,,,,,,,,,,,,,,,
7789,肝,24255.0,gān,gon1,kôn,gon1,koaⁿ,1koe,かん,かん,かん,hangeul=간|eumhun=|rv=gan|mr=kan|y=kan,,,,,,,,,,,,,,,,
7790,股,24260.0,gǔ,gu2,,,kó͘,,く,く,こ,hangeul=고|eumhun=|rv=go|mr=ko|y=ko,,,,,,,,,,,,,,,,
7791,肢,24261.0,zhī,zi1,kî,,ki,,し,し,し,hangeul=지|eumhun=|rv=ji|mr=chi|y=ci,,,,,,,,,,,,,,,,
7792,縹,24262.0,piǎo,piu5,,,iau,,ひょう,ひょう,ひょう,hangeul=표|eumhun=|rv=pyo|mr=p'yo|y=phyo,,,,,,,,,,,,,,,,
7793,肣,24263.0,hán,,,,,,,,,,,,,,,,,,,,,,,,,
7794,肤,24264.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7795,肥,24265.0,féi,fei4,phì,,pûi,3bi,び,び,ひ,hangeul=비,,,,,,,,,,,,,,,,
7796,肧,24267.0,,,,,,,はい,,,hangeul=[[배]]|rv=bae|mr=pae,,,,,,,,,,,,,,,,
7797,肨,24268.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7798,肩,24269.0,jiān,gin1,kiên,,kian,1ji,けん,けん,けん,hangeul=견,,,,,,,,,,,,,,,,
7799,肪,24270.0,fáng,fong1,fòng,,hong,1faan,ぼう,,,hangeul=방,,,,,,,,,,,,,,,,
7800,肫,24271.0,zhūn,zeon1,,,,,しゅん,,,hangeul=순|eumhun=|rv=sun|mr=sun|y=swun,,,,,,,,,,,,,,,,
7801,肬,24272.0,,,,,,,ゆう,,,,,,,,,,,,,,,,,,,
7802,肭,24273.0,nà,neot6,,,lut,,のち,のち,どつ,hangeul=눌|eumhun=|rv=nul|mr=nul|y=nwul,,,,,,,,,,,,,,,,
7803,肯,24275.0,kěn,hang2,,kên3,ńg,,こう,こう,こう,hangeul=긍|eumhun=|rv=geung|mr=kŭng|y=kung,,,,,,,,,,,,,,,,
7804,肰,24276.0,rán,jin4,,,,,,,,,,,,,,,,,,,,,,,,
7805,肱,24277.0,gōng,gwang1,,,keng,,こう,こう,こう,굉,,,,,,,,,,,,,,,,
7806,育,24278.0,yù,juk6,yuk,yug5,,,いく,いく,いく,hangeul=육|eumhun=|rv=yuk|mr=yuk|y=yuk,,,,,,,,,,,,,,,,
7807,肴,24280.0,yáo,ngaau4,,,hâu,,ぎょう,ぎょう,こう,hangeul=효|eumhun=|rv=hyo|mr=hyo|y=hyo,,,,,,,,,,,,,,,,
7808,肶,24282.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7809,肸,24284.0,,,,,,,きつ,,,,,,,,,,,,,,,,,,,
7810,肺,24286.0,fèi,fai3,fi,,hùi,2fi,ほ,ほ,はい,,,,,,,,,,,,,,,,,
7811,胂,24294.0,shèn,san6,,,,,,,,,,,,,,,,,,,,,,,,
7812,胃,24295.0,wèi,wai6,vi,,ūi,3hhue,い,い,い,hangeul=위,,,,,,,,,,,,,,,,
7813,胄,24296.0,zhòu,zau6,,,,,ちゅう,,,hangeul=주|eumhun=|rv=ju|mr=chu|y=cwu,,,,,,,,,,,,,,,,
7814,胅,24297.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7815,胆,24298.0,,,,,,,たん,たん,たん,hangeul=담|eumhun=|rv=dam|mr=tam|y=tam,,,,,,,,,,,,,,,,
7816,胈,24300.0,bá,bat6,,,,,はつ,,,,,,,,,,,,,,,,,,,
7817,胉,24301.0,bó,bok3,,,,,,,,,,,,,,,,,,,,,,,,
7818,背,24304.0,bèi,bui3,phoi,,pōe,2pe,へ,へ,はい,hangeul=[[배]], [[패]]|eumhun=|rv=bae, pae|mr=pae, p'ae|y=pay, phay,,,,,,,,,,,,
7819,胍,24305.0,guā,gwaa1,,,,,く,く,こ,,,,,,,,,,,,,,,,,
7820,胎,24306.0,tāi,toi1,thôi,,thai,,たい,たい,たい,hangeul=태|eumhun=|rv=tae|mr=t'ae|y=thay,,,,,,,,,,,,,,,,
7821,胏,24307.0,,,,,,,し,,,,,,,,,,,,,,,,,,,
7822,胐,24308.0,kū,fat1,vut,fud5,,,,,,,,,,,,,,,,,,,,,,
7823,胑,24309.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7824,胓,24311.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7825,胕,24313.0,,,,,,,ふ,,,hangeul=부|eumhun=|rv=bu|mr=pu|y=pu,,,,,,,,,,,,,,,,
7826,胗,24315.0,zhěn,,,,,,しん,,,,,,,,,,,,,,,,,,,
7827,胘,24316.0,xián,jin4,,,,,けん,,,,,,,,,,,,,,,,,,,
7828,胙,24317.0,zuò,zou6,,,,,ぞ,ぞ,そ,hangeul=조|eumhun=|rv=jo|mr=cho|y=co,,,,,,,,,,,,,,,,
7829,胛,24319.0,jiǎ,gaap3,,,,,きょう,きょう,こう,hangeul=갑|eumhun=|rv=gap|mr=kap|y=kap,,,,,,,,,,,,,,,,
7830,胜,24320.0,xīng,,,,,,,,,,,,,,,,,,,,,,,,,
7831,胝,24321.0,zhī,zi1,,,,,ち,ち,ち,,,,,,,,,,,,,,,,,
7832,胞,24322.0,bāo,baau1,pâu,,pau,,ひょう,ひょう,ほう,hangeul=포|eumhun=|rv=po|mr=p'o|y=pho,,,,,,,,,,,,,,,,
7833,胟,24323.0,chǐ,,,,,,,,,,,,,,,,,,,,,,,,,
7834,胠,24324.0,qū,keoi1,,,,,きょ,,,hangeul=거|eumhun=|rv=geo|mr=kŏ|y=ke,,,,,,,,,,,,,,,,
7835,胡,24325.0,hú,wu4,fù,fu2,ô͘,3hhu,ぐ,ぐ,こ,hangeul=호|eumhun=|rv=ho|mr=ho|y=ho,,,,,,,,,,,,,,,,
7836,胤,24328.0,yìn,jan6,,,īn,,いん,いん,いん,윤,,,,,,,,,,,,,,,,
7837,胥,24329.0,xū,seoi1,,,su,,そ,そ,しょ,hangeul=서|eumhun=|rv=seo|mr=sŏ|y=se,,,,,,,,,,,,,,,,
7838,胦,24330.0,,,,,,,おう,,,,,,,,,,,,,,,,,,,
7839,胭,24337.0,yān,jin1,yên,,ian,,いん,,,,,,,,,,,,,,,,,,,
7840,胮,24338.0,,,,,,,ほう,,,,,,,,,,,,,,,,,,,
7841,胯,24339.0,kuà,kwaa3,,,òa,,こ,,,hangeul=[[과]], [[고]]|eumhun=|rv=gwa, go|mr=kwa, ko|y=kwa, ko,,,,,,,,,,,,
7842,胰,24340.0,yí,ji4,yì,,î,,い,,,,,,,,,,,,,,,,,,,
7843,胱,24341.0,guāng,gwong1,,,kong,,こう,,,hangeul=광|eumhun=|rv=gwang|mr=kwang|y=kwang,,,,,,,,,,,,,,,,
7844,胲,24342.0,hǎi,haai5,,,,,かい,かい,かい,,,,,,,,,,,,,,,,,
7845,胳,24343.0,gē,gaak3,,,kok,,かく,,,,,,,,,,,,,,,,,,,
7846,胴,24344.0,chī,dung6,,,,,ずう,ずう,とう,hangeul=동|eumhun=|rv=dong|mr=tong|y=tong,,,,,,,,,,,,,,,,
7847,胵,24345.0,zhì,chi4,,,,,,,,,,,,,,,,,,,,,,,,
7848,胶,24346.0,xiáo,,,,,,きょう,きょう,こう,,,,,,,,,,,,,,,,,
7849,胷,24347.0,,,,,,,,,,hangeul=흉|eumhun=|rv=hyung|mr=hyung|y=hyung,,,,,,,,,,,,,,,,
7850,胸,24348.0,xiōng,hung1,hiûng,,,1xion,く,く,きょう,가슴|흉,,,,,,,,,,,,,,,,
7851,胹,24349.0,ér,ji4,,,,,じ,,,,,,,,,,,,,,,,,,,
7852,胻,24351.0,héng,hang4,,,,,,,,,,,,,,,,,,,,,,,,
7853,胼,24352.0,pián,pin4,,,,,べん,べん,へん,hangeul=변|eumhun=|rv=byeon|mr=pyŏn|y=pyen,,,,,,,,,,,,,,,,
7854,能,24353.0,néng,nang4,nèn,nên2,,3nen,のう,のう,どう,hangeul=[[능]], [[내]],,,,,,,,,,,,,,,
7855,胾,24354.0,zì,ji3,,,,,し,,,hangeul=자|eumhun=|rv=ja|mr=cha|y=ca,,,,,,,,,,,,,,,,
7856,胿,24355.0,guī,,,,,,,,,,,,,,,,,,,,,,,,,
7857,脀,24356.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7858,脁,24357.0,tiǎo,tiu3,,,,,,,,,,,,,,,,,,,,,,,,
7859,脃,24359.0,,,,,,,ぜい,,,,,,,,,,,,,,,,,,,
7860,脄,24360.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7861,脅,24361.0,xié,hip3,hia̍p,,hia̍p,,こう,こう,きょう,hangeul=협|eumhun=|rv=hyeop|mr=hyŏp|y=hyep,,,,,,,,,,,,,,,,
7862,脆,24362.0,cuì,ceoi3,chhe,,chhùi,2qoe,ぜい,,,hangeul=취|eumhun=|rv=chwi|mr=ch'wi|y=chwi,,,,,,,,,,,,,,,,
7863,脊,24366.0,jǐ,zek3,,,chiak,,しゃく,しゃく,せき,hangeul=척|eumhun=|rv=cheok|mr=ch'ŏk|y=chek,,,,,,,,,,,,,,,,
7864,脕,24377.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7865,脖,24378.0,bó,but6,,,pu̍t,5beq,ほつ,,,hangeul=발|eumhun=|rv=bal|mr=pal|y=pal,,,,,,,,,,,,,,,,
