Unnamed: 0,Column1,Column2,mand_pron,mand_tone,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,kor_0,kor_1,kor_2
6911,窠,22570.0,ke,1,fo1,,,,,か,,,ㄱ,ㅘ,
6912,窡,22571.0,zhuo,2,,,,,,,,,ㅊ,ㅘ,ㄹ
6913,窨,22578.0,yin,4,jam3,,,,,,,,ㅇ,ㅡ,ㅁ
6914,窪,22580.0,wa,1,waa1,,,oa,,え,え,わ,ㅇ,ㅘ,
6915,窫,22581.0,ya,4,jaak3,,,,,,,,ㅇ,ㅏ,ㄹ
6916,窬,22582.0,yu,2,ju4,,,,,ゆ,,,ㅇ,ㅠ,
6917,窮,22584.0,qiong,2,kung4,khiùng,,kiông,3jjion,ぐ,ぐ,きゅう,ㄱ,ㅜ,ㅇ
6918,窯,22585.0,yao,2,jiu4,,,iâu,,よう,,,ㅇ,ㅛ,
6919,窰,22586.0,,,,,,,,よう,,,ㅇ,ㅛ,
6920,窱,22587.0,,,,,,,,,,,ㅈ,ㅗ,
6921,窳,22589.0,yu,3,jyu5,,,,,わ,,,ㅇ,ㅠ,
6922,窴,22590.0,,,,,,,,,,,ㅈ,ㅓ,ㄴ
6923,窵,22591.0,diao,4,diu3,,,tiàu,,ちょう,,,ㅈ,ㅗ,
6924,窶,22592.0,ju,4,geoi6,,,,,ぐ,ぐ,く,ㄱ,ㅜ,
6925,窸,22594.0,xi,1,sik1,,,,,,,,ㅅ,ㅣ,ㄹ
6926,窹,22595.0,wu,4,,,,,,ご,,,ㅇ,ㅗ,
6927,窺,22596.0,kui,1,kwai1,khûi,,ui,,き,,,ㄱ,ㅠ,
6928,窾,22600.0,kuan,3,fo1,,,,,かん,,,ㄱ,ㅘ,ㄴ
6929,窿,22601.0,long,2,lung4,lùng,,long,,りゅう,,,ㄹ,ㅠ,ㅇ
6930,竀,22602.0,cheng,1,ching1,,,,,,,,ㅌ,ㅐ,ㅇ
6931,竁,22604.0,,,,,,,,,,,ㅊ,ㅟ,
6932,竂,22605.0,,,,,,,,,,,ㄹ,ㅛ,
6933,竄,22607.0,cuan,4,cyun3,,,chhǹg,,さん,さん,さん,ㅊ,ㅏ,ㄴ
6934,竅,22608.0,qiao,4,hiu3,,,iàu,,きょう,,,ㄱ,ㅠ,
6935,竇,22610.0,dou,4,dau6,,,,,とう,,,ㄷ,ㅜ,
6936,竈,22611.0,,,,,,,,そう,そう,そう,ㅈ,ㅗ,
6937,竉,22612.0,long,3,lung1,,,,,ろう,,,ㄹ,ㅗ,ㅇ
6938,竊,22613.0,qie,4,sit3,,,chhiat,,せち,せち,せつ,ㅈ,ㅓ,ㄹ
6939,立,22614.0,li,4,lap6,li̍p,lib6,li̍p,5liq,りゅう,りゅう,りゅう,ㄹ,ㅣ,ㅂ
6940,竑,22620.0,hong,2,wang4,,,hông,,こう,,,ㅎ,ㅚ,ㅇ
6941,竒,22621.0,,,,,,,,き,,,ㄱ,ㅣ,
6942,竘,22627.0,qu,3,,,,,,,,,ㄱ,ㅜ,
6943,站,22628.0,zhan,4,zaam6,chham,,chǎm,3ze,たん,,,ㅊ,ㅏ,ㅁ
6944,竚,22629.0,,,,,,,,じょ,じょ,ちょ,ㅈ,ㅓ,
6945,竛,22630.0,,,,,,,,れい,,,ㄹ,ㅕ,ㅇ
6946,竝,22632.0,,,,,,,,びょう,びょう,へい,ㅂ,ㅕ,ㅇ
6947,竟,22634.0,jing,4,ging2,,,kèng,,けい,,,ㄱ,ㅕ,ㅇ
6948,竢,22636.0,,,,,,,,じ,じ,し,ㅅ,ㅏ,
6949,竣,22637.0,jun,4,zeon3,,,chùn,,しゅん,しゅん,しゅん,ㅈ,ㅜ,ㄴ
6950,童,22639.0,tong,2,tung4,thùng,tung2,tâng,3don,ずう,ずう,とう,ㄷ,ㅗ,ㅇ
6951,竦,22640.0,song,3,sung2,,,,,しゅ,しゅ,しょう,ㅅ,ㅗ,ㅇ
6952,竩,22643.0,,,,,,,,ぎ,,,ㅇ,ㅢ,
6953,竪,22644.0,,,,,,,,じゅ,じゅ,しゅ,ㅅ,ㅜ,
6954,竫,22645.0,jing,4,zing6,,,,,せい,,,ㅈ,ㅓ,ㅇ
6955,竭,22647.0,jie,2,kit3,,,kia̍t,,けつ,,,ㄱ,ㅏ,ㄹ
6956,竮,22648.0,ping,2,ping4,,,,,,,,ㅂ,ㅕ,ㅇ
6957,端,22649.0,duan,1,dyun1,tôn,,toaⁿ,1toe,たん,たん,たん,ㄷ,ㅏ,ㄴ
6958,竱,22651.0,zhuan,3,zyun2,,,,,せん,せん,せん,ㅈ,ㅓ,ㄴ
6959,竲,22652.0,,,,,,,,,,,ㅈ,ㅡ,ㅇ
6960,竴,22654.0,,,,,,,,しゅん,,,ㅈ,ㅜ,ㄴ
6961,竵,22655.0,,,,,,,,,,,ㅎ,ㅘ,
6962,競,22656.0,jing,4,ging6,,,kēng,,ぎょう,ぎょう,けい,ㄱ,ㅕ,ㅇ
6963,竷,22657.0,,,,,,,,,,,ㄱ,ㅏ,ㅁ
6964,竹,22659.0,zhu,2,zuk1,chuk,,,4tsoq,ちく,ちく,ちく,ㅈ,ㅜ,ㄱ
6965,竺,22660.0,du,3,duk1,,,,,とく,,,ㅊ,ㅜ,ㄱ
6966,竻,22661.0,le,4,lak6,net,,,,ろく,,,ㄹ,ㅡ,ㄱ
6967,竽,22663.0,yu,2,jyu4,,,,,う,,,ㅇ,ㅜ,
6968,竿,22665.0,gan,1,gon1,,,kan,,かん,かん,かん,ㄱ,ㅏ,ㄴ
6969,笄,22670.0,ji,1,gai1,,,,,け,け,けい,ㄱ,ㅖ,
6970,笅,22671.0,,,,,,,,,,,ㅎ,ㅛ,
6971,笆,22672.0,ba,1,baa1,,,pa,,へ,へ,は,ㅍ,ㅏ,
6972,笇,22673.0,suan,4,,,,,,さん,さん,さん,ㅅ,ㅏ,ㄴ
6973,笈,22674.0,ji,2,kap6,,,,,きゅう,,,ㄱ,ㅡ,ㅂ
6974,笉,22675.0,qin,3,,,,,,,,,ㅅ,ㅣ,ㄴ
6975,笊,22676.0,zhao,4,zaau3,,,,,そう,,,ㅈ,ㅗ,
6976,笋,22677.0,,,,,,,,じゅん,,,ㅅ,ㅜ,ㄴ
6977,笍,22679.0,zhui,4,,,,,,,,,ㅊ,ㅔ,
6978,笏,22681.0,hu,4,fat1,fut,,,,こち,こち,こつ,ㅎ,ㅗ,ㄹ
6979,笐,22682.0,,,,,,,,,,,ㅎ,ㅏ,ㅇ
6980,笑,22683.0,xiao,4,siu3,seu,xiau4,chhiò,2xiau,しょう,しょう,しょう,ㅅ,ㅗ,
6981,笒,22684.0,cen,2,,,,,,,,,ㄱ,ㅡ,ㅁ
6982,笓,22685.0,pi,2,bei6,,,,,,,,ㅂ,ㅣ,
6983,笗,22689.0,,,,,,,,,,,ㄷ,ㅗ,ㅇ
6984,笘,22690.0,shan,1,sim1,,,,,せん,せん,せん,ㅈ,ㅓ,ㅁ
6985,笚,22692.0,xia,2,,,,hah,,,,,ㄱ,ㅏ,ㅂ
6986,笛,22693.0,di,2,dek6,tha̍k,tag6,ta̍t,5diq,ちゃく,ちゃく,てき,ㅈ,ㅓ,ㄱ
6987,笝,22695.0,,,,,,,,,,,ㄴ,ㅏ,ㅂ
6988,笞,22696.0,chi,1,ci1,,,,,ち,,,ㅌ,ㅐ,
6989,笠,22698.0,li,4,lap1,lip,,,5liq,りゅう,りゅう,りゅう,ㄹ,ㅣ,ㅂ
6990,笡,22699.0,qie,4,,,,,,,,,ㅊ,ㅏ,
6991,笢,22700.0,min,3,man5,,,bín,,,,,ㅁ,ㅣ,ㄴ
6992,笥,22703.0,si,4,zi6,,,,,し,し,し,ㅅ,ㅏ,
6993,符,22704.0,fu,2,fu4,fù,,hû,3vu,ぶ,ぶ,ふ,ㅂ,ㅜ,
6994,笧,22705.0,,,,,,,,しゃく,しゃく,さく,ㅊ,ㅐ,ㄱ
6995,笨,22706.0,ben,4,ban6,pun,,,,ぼん,ぼん,ほん,ㅂ,ㅜ,ㄴ
6996,笪,22708.0,da,2,daat3,ta̍p,,ta̍t,,たん,,,ㄷ,ㅏ,ㄹ
6997,笫,22709.0,zi,3,zi2,,,,,し,,,ㅈ,ㅏ,
6998,第,22710.0,di,4,dai6,thi,,tē,3di,だい,だい,てい,ㅈ,ㅔ,
6999,笭,22711.0,,,,,,,,れい,,,ㄹ,ㅕ,ㅇ
7000,笮,22712.0,ze,2,zaak3,,,,,さく,,,ㅊ,ㅏ,ㄱ
7001,笯,22713.0,,,,,,,,ど,,,ㄴ,ㅗ,
7002,笰,22714.0,fu,2,fat1,,,,,ふつ,,,ㅂ,ㅜ,ㄹ
7003,笱,22715.0,gou,3,gau2,,,,,こう,,,ㄱ,ㅜ,
7004,笲,22716.0,,,,,,,,,,,ㅂ,ㅓ,ㄴ
7005,笳,22717.0,jia,1,gaa1,,,ka,,け,け,か,ㄱ,ㅏ,
7006,笵,22719.0,,,,,,,,ぼん,ぼん,はん,ㅂ,ㅓ,ㅁ
7007,笿,22729.0,luo,4,,,,,,らく,,,ㄹ,ㅏ,ㄱ
7008,筀,22730.0,,,,,,,,けい,,,ㄱ,ㅖ,
7009,筄,22734.0,yao,4,jiu6,,,,,,,,ㅇ,ㅛ,
7010,筅,22735.0,xian,3,sin2,,,sián,,せん,せん,せん,ㅅ,ㅓ,ㄴ
7011,筆,22737.0,bi,3,bat1,pit,,pit,4piq,ひち,ひち,ひつ,ㅍ,ㅣ,ㄹ
7012,筇,22738.0,qiong,2,kung4,,,,,きょう,,,ㄱ,ㅗ,ㅇ
7013,筈,22739.0,kuo,4,kut3,,,,,かち,かち,かつ,ㄱ,ㅘ,ㄹ
7014,等,22740.0,deng,3,dang2,tén,dên3,tán,2ten,とう,とう,とう,ㄷ,ㅡ,ㅇ
7015,筊,22741.0,jiao,3,gaau2,,,,,,,,ㅎ,ㅛ,
7016,筋,22742.0,jin,1,gan1,kîn,,,1jin,こん,こん,きん,ㄱ,ㅡ,ㄴ
7017,筌,22743.0,quan,2,cyun4,,,,,せん,せん,せん,ㅈ,ㅓ,ㄴ
7018,筍,22744.0,sun,3,seon2,,,sún,,しゅん,しゅん,しゅん,ㅅ,ㅜ,ㄴ
7019,筏,22746.0,fa,2,fat6,,,hoa̍t,,ぼち,ぼち,はつ,ㅂ,ㅓ,ㄹ
7020,筐,22747.0,kuang,1,hong1,,,ong,,こう,こう,きょう,ㄱ,ㅘ,ㅇ
7021,筒,22749.0,tong,3,tung4,,,tông,,ずう,ずう,とう,ㅌ,ㅗ,ㅇ
7022,答,22751.0,da,2,daap3,,dab5,tah,,とう,とう,とう,ㄷ,ㅏ,ㅂ
7023,筕,22752.0,,,,,,,,こう,,,ㅎ,ㅐ,ㅇ
7024,策,22753.0,ce,4,caak3,chhet,,chhiak,,しゃく,しゃく,さく,ㅊ,ㅐ,ㄱ
7025,筟,22762.0,fu,1,,,,,,,,,ㅂ,ㅜ,
7026,筠,22763.0,yun,2,wan4,,,,,いん,,,ㄱ,ㅠ,ㄴ
7027,筡,22764.0,jian,4,tou4,,,,,,,,ㄷ,ㅗ,
7028,筣,22766.0,li,4,lei4,,,,,,,,ㄹ,ㅣ,
7029,筤,22767.0,lang,2,long4,,,,,ろう,,,ㄹ,ㅏ,ㅇ
7030,筥,22768.0,,,,,,,,こ,こ,きょ,ㄱ,ㅓ,
7031,筦,22769.0,Guan,3,gun2,,,,,かん,,,ㄱ,ㅘ,ㄴ
7032,筧,22770.0,jian,3,gaan2,,,kéng,,けん,,,ㄱ,ㅕ,ㄴ
7033,筨,22771.0,han,2,,,,,,,,,ㅎ,ㅏ,ㅁ
7034,筩,22772.0,,,,,,,,とう,,,ㅌ,ㅗ,ㅇ
7035,筬,22775.0,,,,,,,,せい,,,ㅅ,ㅓ,ㅇ
7036,筭,22776.0,suan,4,syun3,,,,,さん,,,ㅅ,ㅏ,ㄴ
7037,筮,22777.0,shi,4,sai6,,,sē,,せい,,,ㅅ,ㅓ,
7038,筯,22778.0,,,,,,,,ちょ,,,ㅈ,ㅓ,
7039,筰,22779.0,zuo,2,zok6,,,,,ざく,ざく,さく,ㅈ,ㅏ,ㄱ
7040,筱,22780.0,xiao,3,siu2,,,,,しょう,しょう,しょう,ㅅ,ㅗ,
7041,筲,22781.0,shao,1,saau1,,,,,そう,,,ㅅ,ㅗ,
7042,筳,22782.0,ting,2,jin4,,,,,てい,,,ㅈ,ㅓ,ㅇ
7043,筴,22783.0,ce,4,caak3,,,,,きょう,きょう,こう,ㅎ,ㅕ,ㅂ
7044,筵,22784.0,yan,2,jin4,,,,,えん,えん,えん,ㅇ,ㅕ,ㄴ
7045,箁,22798.0,pou,2,,,,,,,,,ㅂ,ㅜ,
7046,箃,22800.0,zou,1,,,,,,,,,ㅊ,ㅜ,
7047,箄,22801.0,bi,3,bei6,,,,,はい,,,ㅂ,ㅣ,
7048,箅,22802.0,bi,4,bei3,,,,,,,,ㅍ,ㅖ,
7049,箇,22805.0,,,,,,,,か,か,,ㄱ,ㅐ,
7050,箉,22807.0,guai,3,,,,,,かい,,,ㄱ,ㅚ,
7051,箊,22808.0,yu,1,,,,,,,,,ㅇ,ㅓ,
7052,箋,22809.0,jian,1,zin1,,,,,せん,せん,せん,ㅈ,ㅓ,ㄴ
7053,箍,22811.0,gu,1,ku1,khiêu,,o͘,,く,く,こ,ㄱ,ㅗ,
7054,箏,22813.0,zheng,1,zang1,chên,zên1,,1tsen,しょう,しょう,そう,ㅈ,ㅐ,ㅇ
7055,箐,22814.0,jing,1,zing1,,,,,せい,,,ㅈ,ㅓ,ㅇ
7056,箑,22815.0,sha,4,zit6,,,,,そう,,,ㅅ,ㅏ,ㅂ
7057,箒,22816.0,,,,,,,,す,す,しゅう,ㅊ,ㅜ,
7058,箓,22817.0,,,,,,,,,,,ㄹ,ㅗ,ㄱ
7059,箔,22818.0,bo,2,bok6,,,po̍h,,ばく,ばく,はく,ㅂ,ㅏ,ㄱ
7060,箕,22819.0,ji,1,gei1,,,ki,,き,,,ㄱ,ㅣ,
7061,箖,22820.0,lin,2,laam4,,,,,りん,,,ㄹ,ㅣ,ㅁ
7062,算,22821.0,suan,4,syun3,son,son4,,2soe,さん,さん,さん,ㅅ,ㅏ,ㄴ
7063,箘,22822.0,jun,4,kwan1,,,,,こん,こん,きん,ㄱ,ㅠ,ㄴ
7064,箙,22823.0,fu,2,fuk6,,,,,ぶく,ぶく,ふく,ㅂ,ㅗ,ㄱ
7065,箛,22825.0,gu,1,gu1,,,,,こ,,,ㄱ,ㅗ,
7066,箜,22826.0,kong,1,hung1,,,,,く,く,こう,ㄱ,ㅗ,ㅇ
7067,箝,22827.0,qian,2,kim4,,,,,げん,げん,けん,ㄱ,ㅕ,ㅁ
7068,箟,22829.0,jun,4,,,,,,ごん,ごん,きん,ㄱ,ㅠ,ㄴ
7069,箠,22830.0,,,,,,,,すい,,,ㅊ,ㅜ,
7070,管,22831.0,guan,3,gun2,kón,,koán,2kuoe,かん,かん,かん,ㄱ,ㅘ,ㄴ
7071,箬,22843.0,ruo,4,joek6,,,ha̍h,,じょく,,,ㅇ,ㅑ,ㄱ
7072,箭,22844.0,jian,4,zin3,chien,,chiàn,2ji,せん,せん,せん,ㅈ,ㅓ,ㄴ
7073,箯,22846.0,,,,,,,,へん,,,ㅍ,ㅕ,ㄴ
7074,箰,22847.0,sun,3,,,,,,しゅん,しゅん,しゅん,ㅅ,ㅜ,ㄴ
7075,箱,22848.0,xiang,1,soeng1,siông,,,1xian,そう,そう,しょう,ㅅ,ㅏ,ㅇ
7076,箲,22849.0,xian,3,sin2,,,,,せん,,,ㅅ,ㅓ,ㄴ
7077,箳,22850.0,ping,2,,,,,,,,,ㅂ,ㅕ,ㅇ
7078,箴,22851.0,zhen,1,zam1,chṳ̂m,,cherm,1tsen,しん,しん,しん,ㅈ,ㅏ,ㅁ
7079,箵,22852.0,,,,,,,,せい,,,ㅅ,ㅓ,ㅇ
7080,箶,22853.0,,,,,,,,こ,,,ㅎ,ㅗ,
7081,箷,22854.0,shi,1,ji4,,,,,,,,ㅇ,ㅣ,
7082,箸,22855.0,zhu,4,zyu6,chhu,cu4,,3zr,じょ,じょ,ちょ,ㅈ,ㅓ,
7083,箹,22856.0,yue,1,,,,,,,,,ㅇ,ㅑ,ㄱ
7084,箽,22860.0,,,,,,,,とう,,,ㄷ,ㅗ,ㅇ
7085,箾,22861.0,,,,,,,,,,,ㅅ,ㅗ,
7086,箿,22862.0,ji,2,zaap6,,,,,,,,ㅅ,ㅏ,ㅂ
7087,節,22863.0,jie,2,zit3,chiet,jiêd5,chat,4jiq,せち,せち,せつ,ㅈ,ㅓ,ㄹ
7088,篁,22864.0,huang,2,wong4,,,,,おう,おう,こう,ㅎ,ㅘ,ㅇ
7089,篂,22865.0,xing,1,,,,,,せい,,,ㅅ,ㅓ,ㅇ
7090,篃,22866.0,,,,,,,,,,,ㅁ,ㅣ,
7091,範,22867.0,fan,4,faan6,fam,fam4,pān,3ve,ぼん,ぼん,はん,ㅂ,ㅓ,ㅁ
7092,篅,22868.0,chui,2,,,,,,すい,,,ㅊ,ㅓ,ㄴ
7093,篆,22869.0,zhuan,4,syun6,,,,,でん,でん,てん,ㅈ,ㅓ,ㄴ
7094,篇,22870.0,pian,1,pin1,phiên,,ian,,へん,へん,へん,ㅍ,ㅕ,ㄴ
7095,篋,22874.0,qie,4,haap6,,,oeh,,きょう,,,ㅎ,ㅕ,ㅂ
7096,篍,22876.0,qiu,1,,,,,,,,,ㅊ,ㅜ,
7097,篎,22877.0,miao,3,,,,,,,,,ㅁ,ㅛ,
7098,篔,22883.0,yun,2,wan4,,,,,うん,,,ㅇ,ㅜ,ㄴ
7099,篕,22884.0,he,2,,,,,,,,,ㅎ,ㅏ,ㅂ
7100,篖,22885.0,tang,2,,,,,,とう,,,ㄷ,ㅏ,ㅇ
7101,篘,22887.0,,,,,,,,,,,ㅊ,ㅜ,
7102,篙,22888.0,gao,1,gou1,,,ko,,こう,,,ㄱ,ㅗ,
7103,篚,22889.0,fei,3,fei2,,,,,ひ,,,ㅂ,ㅣ,
7104,篜,22903.0,,,,,,,,,,,ㅈ,ㅡ,ㅇ
7105,篝,22904.0,gou,1,gau1,,,,,く,く,こう,ㄱ,ㅜ,
7106,篞,22905.0,nie,4,nip6,,,,,,,,ㄴ,ㅕ,ㄹ
7107,篟,22906.0,qian,4,sin3,,,,,,,,ㅊ,ㅓ,ㄴ
7108,篠,22907.0,xiao,3,siu2,,,,,しょう,しょう,しょう,ㅅ,ㅗ,
7109,篡,22908.0,cuan,4,saan3,chhon,,chhoàn,,さん,,,ㅊ,ㅏ,ㄴ
7110,篢,22910.0,gong,1,,,,,,,,,ㄱ,ㅗ,ㅇ
7111,篣,22911.0,,,,,,,,,,,ㅂ,ㅏ,ㅇ
7112,篤,22912.0,du,3,duk1,,,tauh,,とく,,,ㄷ,ㅗ,ㄱ
7113,篥,22913.0,li,4,leot6,,,,,りち,りち,りつ,ㄹ,ㅠ,ㄹ
7114,篦,22914.0,bi,4,bei6,,,,,へい,,,ㅂ,ㅣ,
7115,篧,22915.0,,,,,,,,,,,ㅊ,ㅏ,ㄱ
7116,篨,22916.0,chu,2,ceoi4,,,,,じょ,じょ,ちょ,ㅈ,ㅓ,
7117,篩,22917.0,shai,1,sai1,chhî,,sai,,し,し,さい,ㅅ,ㅏ,
7118,篪,22918.0,chi,2,ci4,,,,,ち,,,ㅈ,ㅣ,
7119,篰,22924.0,bu,4,bou6,,,,,,,,ㅂ,ㅜ,
7120,篲,22926.0,,,,,,,,すい,,,ㅅ,ㅜ,
7121,篳,22927.0,bi,4,bat1,,,,,ひち,ひち,ひつ,ㅍ,ㅣ,ㄹ
7122,篴,22928.0,zhu,2,,,,,,てき,,,ㅈ,ㅓ,ㄱ
7123,篷,22931.0,peng,2,pung4,phùng,,ông,,ぶ,ぶ,ほう,ㅂ,ㅗ,ㅇ
7124,篸,22933.0,can,3,caam2,,,,,しん,,,ㅈ,ㅏ,ㅁ
7125,篹,22934.0,suan,3,,,,,,さん,,,ㅊ,ㅏ,ㄴ
7126,篻,22936.0,piao,3,piu3,,,,,,,,ㅍ,ㅛ,
7127,篼,22937.0,,,,,,,,とう,,,ㄷ,ㅜ,
7128,篽,22938.0,,,,,,,,,,,ㅇ,ㅓ,
7129,篾,22939.0,mie,4,mit6,,,bia̍t,,べつ,,,ㅁ,ㅕ,ㄹ
7130,篿,22940.0,tuan,2,tyun4,,,,,,,,ㅈ,ㅓ,ㄴ
7131,簀,22942.0,ze,2,zaak3,,,,,しゃく,しゃく,さく,ㅊ,ㅐ,ㄱ
7132,簁,22943.0,shai,1,,,,,,し,,,ㅅ,ㅏ,
7133,簂,22944.0,gui,4,gwok3,,,,,かい,,,ㄱ,ㅞ,
7134,簃,22945.0,yi,2,ji4,,,,,い,,,ㅇ,ㅣ,
7135,簄,22946.0,,,,,,,,こ,,,ㅎ,ㅗ,
7136,簆,22948.0,,,,,,,,こう,,,ㄱ,ㅜ,
7137,簇,22949.0,cu,4,cuk1,,,chhok,,す,す,そう,ㅈ,ㅗ,ㄱ
7138,簉,22951.0,zao,4,zou6,,,,,しゅう,,,ㅊ,ㅜ,
7139,簋,22953.0,gui,3,gwai2,,,,,き,,,ㄱ,ㅞ,
7140,簍,22955.0,lou,3,lau5,,,lió,,ろう,,,ㄹ,ㅜ,
7141,簎,22956.0,ce,4,caak3,,,,,さく,,,ㅊ,ㅏ,ㄱ
7142,簏,22958.0,,,,,,,,ろく,,,ㄹ,ㅗ,ㄱ
7143,簙,22968.0,bo,2,bok3,,,,,はく,はく,はく,ㅂ,ㅏ,ㄱ
7144,簜,22971.0,dang,4,dong1,,,,,,,,ㅌ,ㅏ,ㅇ
7145,簝,22972.0,liao,2,liu4,,,,,,,,ㄹ,ㅛ,
7146,簞,22973.0,dan,1,daan1,,,,,たん,たん,たん,ㄷ,ㅏ,ㄴ
7147,簟,22974.0,dian,4,dim3,,,,,てん,,,ㅈ,ㅓ,ㅁ
7148,簠,22975.0,fu,3,fu2,,,,,ふ,,,ㅂ,ㅗ,
7149,簡,22976.0,jian,3,gaan2,,,kán,2ji,けん,けん,かん,ㄱ,ㅏ,ㄴ
7150,簢,22977.0,min,3,man5,,,,,,,,ㅁ,ㅣ,ㄴ
7151,簣,22978.0,kui,4,gwai6,,,,,き,,,ㄱ,ㅞ,
7152,簥,22980.0,,,,,,,,きょう,,,ㄱ,ㅛ,
7153,簦,22981.0,deng,1,dang1,,,,,とう,,,ㄷ,ㅡ,ㅇ
7154,簧,22982.0,huang,2,wong4,vông,,hông,,おう,おう,こう,ㅎ,ㅘ,ㅇ
7155,簨,22983.0,sun,3,seon2,,,,,しゅん,,,ㅅ,ㅜ,ㄴ
7156,簩,22984.0,,,,,,,,,,,ㄹ,ㅗ,
7157,簪,22985.0,zan,1,zaam1,,,chiam,,しん,しん,さん,ㅈ,ㅏ,ㅁ
7158,簫,22986.0,xiao,1,siu1,sêu,,siau,,しょう,しょう,しょう,ㅅ,ㅗ,
7159,簬,22987.0,lu,4,lou6,,,,,ろ,,,ㄹ,ㅗ,
7160,簭,22988.0,,,,,,,,,,,ㅅ,ㅓ,
7161,簳,22993.0,gan,3,gon3,,,,,かん,かん,かん,ㄱ,ㅏ,ㄴ
7162,簵,22995.0,lu,4,lou6,,,,,,,,ㄹ,ㅗ,
7163,簶,22996.0,lu,4,,,,,,ろく,,,ㄹ,ㅗ,ㄱ
7164,簷,22997.0,,,,,,,,えん,,,ㅊ,ㅓ,ㅁ
7165,簸,22998.0,bo,3,bo3,pai,,pòa,,は,は,は,ㅍ,ㅏ,
7166,簹,22999.0,dang,1,dong1,,,,,とう,,,ㄷ,ㅏ,ㅇ
7167,簺,23000.0,sai,4,,,,,,さい,,,ㅅ,ㅐ,
7168,簻,23001.0,ke,1,gwo6,,,,,,,,ㄱ,ㅘ,
7169,簾,23004.0,lian,2,lim4,,,liâm,,れん,れん,れん,ㄹ,ㅕ,ㅁ
7170,簿,23005.0,bu,4,bou6,,,ǒ͘,,ぶ,ぶ,ほ,ㅂ,ㅜ,
7171,籀,23006.0,zhou,4,zau6,,,,,ちゅう,,,ㅈ,ㅜ,
7172,籃,23009.0,lan,2,laam4,làm,,nâ,,らん,らん,らん,ㄹ,ㅏ,ㅁ
7173,籉,23016.0,tai,2,toi4,,,,,,,,ㄷ,ㅐ,
7174,籊,23018.0,,,,,,,,てき,,,ㅈ,ㅓ,ㄱ
7175,籋,23019.0,,,,,,,,,,,ㅅ,ㅓ,ㅂ
7176,籌,23021.0,chou,2,cau4,,,tiû,,ちゅう,,,ㅈ,ㅜ,
7177,籍,23024.0,ji,2,zik6,,,,5xxiq,じゃく,じゃく,せき,ㅈ,ㅓ,ㄱ
7178,籑,23028.0,,,,,,,,せん,,,ㅊ,ㅏ,ㄴ
7179,籓,23030.0,,,,,,,,はん,,,ㅂ,ㅓ,ㄴ
7180,籔,23031.0,sou,3,sau2,,,,,しゅ,しゅ,す,ㅅ,ㅜ,
7181,籗,23034.0,,,,,,,,,,,ㄱ,ㅘ,ㄱ
7182,籙,23038.0,lu,4,luk6,,,,,ろく,ろく,りょく,ㄹ,ㅗ,ㄱ
7183,籚,23040.0,lu,2,lou4,,,,,ろ,,,ㄹ,ㅗ,
7184,籛,23041.0,jian,1,zin1,,,,,せん,,,ㅈ,ㅓ,ㄴ
7185,籜,23042.0,tuo,4,tok3,,,,,たく,,,ㅌ,ㅏ,ㄱ
7186,籝,23043.0,,,,,,,,えい,,,ㅇ,ㅕ,ㅇ
7187,籞,23044.0,,,,,,,,ぎょ,,,ㅇ,ㅓ,
7188,籟,23045.0,lai,4,laai6,,,,,らい,らい,らい,ㄹ,ㅚ,
7189,籠,23046.0,long,2,lung4,lûng,lung1,láng,3lon,る,る,ろう,ㄹ,ㅗ,ㅇ
7190,籣,23049.0,,,,,,,,らん,,,ㄹ,ㅏ,ㄴ
7191,籤,23050.0,qian,1,cim1,chhiâm,,chhiam,,せん,,,ㅊ,ㅓ,ㅁ
7192,籥,23051.0,yue,4,joek6,,,io̍k,,やく,,,ㅇ,ㅑ,ㄱ
7193,籦,23052.0,zhong,1,zung1,,,,,,,,ㅈ,ㅗ,ㅇ
7194,籧,23053.0,qu,2,keui4,,,,,きょ,,,ㄱ,ㅓ,
7195,籨,23054.0,,,,,,,,,,,ㄹ,ㅕ,ㅁ
7196,籩,23055.0,bian,1,bin1,,,pian,,へん,,,ㅂ,ㅕ,ㄴ
7197,籫,23057.0,,,,,,,,,,,ㅊ,ㅏ,ㄴ
7198,籬,23058.0,li,2,lei4,lì,,lî,3li,り,,,ㄹ,ㅣ,
7199,籭,23059.0,,,,,,,,し,,,ㅅ,ㅏ,
7200,籮,23060.0,luo,2,lo4,,,lô,,ら,,,ㄹ,ㅏ,
7201,籰,23062.0,yue,4,jyut6,,,,,わく,,,ㅎ,ㅘ,ㄱ
7202,籲,23064.0,yu,4,jyu6,,,,,ゆ,,,ㅇ,ㅠ,
7203,籴,23065.0,,,,,,,,てき,,,ㅈ,ㅓ,ㄱ
7204,籸,23070.0,shen,1,saam2,,,,,,,,ㅅ,ㅣ,ㄴ
7205,籹,23071.0,nü,3,yu5,,,,,じょ,,,ㅇ,ㅕ,
7206,籺,23072.0,he,2,hat6,,,,,,,,ㅎ,ㅡ,ㄹ
7207,粄,23082.0,ban,3,bun2,pán,ban3,,,,,,ㅍ,ㅏ,ㄴ
7208,粈,23086.0,,,,,,,,,,,ㄴ,ㅠ,
7209,粉,23088.0,fen,3,fan2,fún,,hún,2fen,ふん,ふん,ふん,ㅂ,ㅜ,ㄴ
