Unnamed: 0,Column1,Column2,mand_pron,mand_tone,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,kor_0,kor_1,kor_2
12181,鸈,32786.0,ye,4,,,,,,,,,ㅇ,ㅓ,ㅂ
12182,鸉,32787.0,yang,2,,,,,,,,,ㅇ,ㅑ,ㅇ
12183,鸋,32789.0,ning,2,ning4,,,,,,,,ㄴ,ㅕ,ㅇ
12184,鸌,32790.0,huo,4,,,,,,,,,ㅎ,ㅘ,ㄱ
12185,鸍,32791.0,mi,2,,,,,,,,,ㅅ,ㅣ,
12186,鸎,32792.0,,,,,,,,よう,,,ㅇ,ㅐ,ㅇ
12187,鸏,32793.0,meng,2,mung4,,,,,,,,ㅁ,ㅗ,ㅇ
12188,鸐,32794.0,,,,,,,,てき,,,ㅈ,ㅓ,ㄱ
12189,鸑,32795.0,yue,4,ngok6,,,,,がく,,,ㅇ,ㅏ,ㄱ
12190,鸒,32796.0,yu,4,jyu4,,,,,よ,よ,よ,ㅇ,ㅕ,
12191,鸓,32797.0,lei,3,leoi5,,,,,,,,ㄹ,ㅠ,
12192,鸕,32799.0,lu,2,lou4,,,lô͘,,る,る,ろ,ㄹ,ㅗ,
12193,鸗,32801.0,long,2,lung4,,,,,,,,ㄹ,ㅗ,ㅇ
12194,鸘,32802.0,shuang,1,soeng1,,,,,,,,ㅅ,ㅏ,ㅇ
12195,鸙,32803.0,yue,4,,,,,,やく,,,ㅇ,ㅑ,ㄱ
12196,鸚,32804.0,ying,1,jing1,,,,,よう,よう,おう,ㅇ,ㅐ,ㅇ
12197,鸛,32805.0,guan,4,gun3,,,koàn,,かん,かん,かん,ㄱ,ㅘ,ㄴ
12198,鸜,32806.0,,,,,,,,く,,,ㄱ,ㅜ,
12199,鸝,32807.0,li,2,lei4,,,,,り,り,り,ㄹ,ㅣ,
12200,鸞,32808.0,luan,2,lyun4,,,,,らん,らん,らん,ㄹ,ㅏ,ㄴ
12201,鹵,32913.0,lu,3,lou5,lû,,ló͘,,る,る,ろ,ㄹ,ㅗ,
12202,鹷,32915.0,,,,,,,,れい,,,ㄹ,ㅕ,ㅇ
12203,鹺,32918.0,cuo,2,co4,,,,,さ,,,ㅊ,ㅏ,
12204,鹻,32919.0,,,,,,,,かん,,,ㄱ,ㅏ,ㅁ
12205,鹼,32920.0,jian,3,gaan2,kién,gian3,kiám,2ke,けん,けん,かん,ㄱ,ㅏ,ㅁ
12206,鹽,32921.0,yan,2,jim4,yàm,,iâm,3hhi,えん,えん,えん,ㅇ,ㅕ,ㅁ
12207,鹿,32923.0,lu,4,luk6,lu̍k,,lo̍k,5loq,ろく,ろく,ろく,ㄹ,ㅗ,ㄱ
12208,麀,32924.0,you,1,jau1,,,,,ゆう,,,ㅇ,ㅜ,
12209,麁,32925.0,,,,,,,,す,す,そ,ㅊ,ㅜ,
12210,麂,32926.0,ji,3,gei2,,,,,き,,,ㄱ,ㅞ,
12211,麃,32927.0,biao,1,biu1,,,,,ほう,,,ㅍ,ㅗ,
12212,麆,32955.0,chu,2,cyu4,,,,,,,,ㅈ,ㅗ,
12213,麇,32959.0,jun,1,gwan1,,,,,きん,,,ㄱ,ㅠ,ㄴ
12214,麈,32963.0,zhu,3,jyu2,,,,,しゅ,,,ㅈ,ㅜ,
12215,麉,32966.0,jian,1,gin1,,,,,,,,ㄱ,ㅕ,ㄴ
12216,麊,32969.0,mi,2,mei4,,,,,,,,ㅁ,ㅣ,
12217,麋,32971.0,mi,2,mei4,,,bî,,み,み,び,ㅁ,ㅣ,
12218,麌,32973.0,wu,2,yu5,,,,,ぐ,,,ㅇ,ㅜ,
12219,麎,32975.0,chen,2,,,,,,しん,,,ㅅ,ㅣ,ㄴ
12220,麏,32977.0,jun,1,gwan1,,,,,きん,,,ㄱ,ㅠ,ㄴ
12221,麐,32979.0,,,,,,,,,,,ㄹ,ㅣ,ㄴ
12222,麑,32981.0,ni,2,ngai4,,,,,げい,,,ㅇ,ㅖ,
12223,麒,32982.0,qi,2,kei4,khî,,kî,3jji,ぎ,ぎ,き,ㄱ,ㅣ,
12224,麓,32983.0,lu,4,luk1,,,,,ろく,,,ㄹ,ㅗ,ㄱ
12225,麔,32984.0,jiu,4,,,,,,,,,ㄱ,ㅜ,
12226,麕,32985.0,jun,1,kwan2,,,,,ぐん,ぐん,きん,ㄱ,ㅠ,ㄴ
12227,麖,32986.0,jing,1,geng1,,,,,けい,,,ㄱ,ㅕ,ㅇ
12228,麗,32988.0,li,4,lai6,,,lē,3li,り,り,り,ㄹ,ㅕ,
12229,麙,32991.0,yan,2,,,,,,,,,ㅇ,ㅏ,ㅁ
12230,麚,32992.0,jia,1,gaa1,,,,,,,,ㄱ,ㅏ,
12231,麛,32993.0,mi,2,nei4,,,,,べい,,,ㅁ,ㅣ,
12232,麜,32994.0,li,4,,,,,,,,,ㅇ,ㅠ,ㄹ
12233,麝,32995.0,she,4,se6,,,siā,,じゃ,じゃ,しゃ,ㅅ,ㅏ,
12234,麞,32996.0,,,,,,,,しょう,,,ㅈ,ㅏ,ㅇ
12235,麟,32997.0,lin,2,leon4,lîn,,lîn,,りん,りん,りん,ㄹ,ㅣ,ㄴ
12236,麠,32998.0,,,,,,,,,,,ㄱ,ㅕ,ㅇ
12237,麡,32999.0,qi,2,cai4,,,,,,,,ㅈ,ㅔ,
12238,麢,33000.0,,,,,,,,,,,ㄹ,ㅕ,ㅇ
12239,麤,33002.0,,,,,,,,す,す,そ,ㅊ,ㅜ,
12240,麥,33003.0,mai,4,mak6,ma̍k,mag6,,5maq,みゃく,みゃく,ばく,ㅁ,ㅐ,ㄱ
12241,麧,33005.0,ge,1,hat6,,,,,,,,ㅎ,ㅡ,ㄹ
12242,麨,33006.0,chao,3,,,,,,しょう,,,ㅊ,ㅗ,
12243,麩,33007.0,fu,1,fu1,,,o͘,,ふ,ふ,ふ,ㅂ,ㅜ,
12244,麫,33009.0,,,,,,,,,,,ㅁ,ㅕ,ㄴ
12245,麮,33012.0,qu,4,,,,,,きょ,,,ㄱ,ㅓ,
12246,麰,33014.0,mou,2,mau4,,,,,ぼう,,,ㅁ,ㅗ,
12247,麱,33015.0,fu,1,fu1,,,,,,,,ㅂ,ㅜ,
12248,麳,33017.0,lai,2,,,,,,りき,りき,らい,ㄹ,ㅐ,
12249,麵,33020.0,mian,4,min6,mien,miên4,mī,3mi,めん,めん,べん,ㅁ,ㅕ,ㄴ
12250,麷,33024.0,feng,1,fung1,,,,,,,,ㅍ,ㅜ,ㅇ
12251,麻,33029.0,ma,2,maa4,mà,,môa,3mo,め,め,ば,ㅁ,ㅏ,
12252,麼,33030.0,me,0,mo1,,,,,ま,ま,ば,ㅁ,ㅏ,
12253,麾,33032.0,hui,1,fai1,,,hui,,き,,,ㅎ,ㅟ,
12254,黀,33035.0,zou,1,zau1,,,,,,,,ㅊ,ㅜ,
12255,黁,33036.0,nun,2,,,,,,,,,ㅎ,ㅑ,ㅇ
12256,黂,33037.0,,,,,,,,,,,ㅂ,ㅜ,ㄴ
12257,黃,33038.0,huang,2,wong4,vòng,vong2,,3hhuaan,おう,おう,こう,ㅎ,ㅘ,ㅇ
12258,黅,33040.0,jin,1,,,,,,,,,ㄱ,ㅡ,ㅁ
12259,黇,33042.0,tian,1,tim1,,,,,,,,ㅊ,ㅓ,ㅁ
12260,黈,33043.0,tou,3,tau2,,,,,とう,,,ㅈ,ㅜ,
12261,黊,33045.0,,,,,,,,,,,ㄱ,ㅠ,
12262,黌,33047.0,hong,2,hung4,,,,,こう,,,ㅎ,ㅚ,ㅇ
12263,黍,33048.0,shu,3,syu2,sú,,sé,,しょ,しょ,しょ,ㅅ,ㅓ,
12264,黎,33049.0,li,2,lai4,lì,li2,lê,3li,らい,らい,れい,ㄹ,ㅕ,
12265,黏,33050.0,nian,2,nim4,ngiàm,,liâm,3nyi,ねん,,,ㅈ,ㅓ,ㅁ
12266,黐,33051.0,chi,1,ci1,,,thi,,ち,ち,ち,ㄹ,ㅣ,
12267,黑,33052.0,hei,1,hak1,het,,hiak,4heq,こく,こく,こく,ㅎ,ㅡ,ㄱ
12268,黓,33054.0,yi,4,jik6,,,,,,,,ㅇ,ㅣ,ㄱ
12269,黔,33055.0,qian,2,kim4,,,iâm,,けん,,,ㄱ,ㅓ,ㅁ
12270,黕,33056.0,dan,3,dam2,,,,,たん,,,ㄷ,ㅏ,ㅁ
12271,黖,33057.0,,,,,,,,,,,ㄱ,ㅣ,
12272,黗,33058.0,tun,1,,,,,,,,,ㄷ,ㅗ,ㄴ
12273,默,33059.0,mo,4,mak6,,,,5meq,もく,,,ㅁ,ㅜ,ㄱ
12274,黚,33061.0,qian,2,kim4,,,,,,,,ㄱ,ㅕ,ㅁ
12275,黛,33062.0,dai,4,doi6,,,tāi,,たい,,,ㄷ,ㅐ,
12276,黜,33063.0,chu,4,ceot1,,,thut,,ちゅち,ちゅち,ちゅつ,ㅊ,ㅜ,ㄹ
12277,黝,33064.0,you,3,jau2,,,,,ゆう,,,ㅇ,ㅠ,
12278,點,33065.0,dian,3,dim2,tiám,,tiám,2ti,てん,てん,てん,ㅈ,ㅓ,ㅁ
12279,黟,33066.0,yi,1,ji1,,,,,えい,,,ㅇ,ㅣ,
12280,黠,33067.0,xia,2,hat6,,,,,かつ,,,ㅎ,ㅣ,ㄹ
12281,黤,33071.0,yan,3,jim2,,,,,えん,,,ㅇ,ㅏ,ㅁ
12282,黥,33072.0,qing,2,king4,,,,,ぎょう,ぎょう,けい,ㄱ,ㅕ,ㅇ
12283,黦,33073.0,yue,4,wat1,,,,,,,,ㅇ,ㅜ,ㄹ
12284,黧,33074.0,li,2,lai4,,,,,れい,,,ㄹ,ㅕ,
12285,黨,33075.0,dang,3,dong2,tóng,,tóng,2taan,とう,とう,とう,ㄷ,ㅏ,ㅇ
12286,黫,33078.0,yan,1,jan1,,,,,,,,ㅇ,ㅏ,ㄴ
12287,黬,33079.0,,,,,,,,かん,,,ㅇ,ㅏ,ㅁ
12288,黭,33080.0,yan,3,am2,,,,,えん,,,ㅇ,ㅏ,ㅁ
12289,黮,33081.0,dan,3,daam6,,,,,たん,,,ㄷ,ㅏ,ㅁ
12290,黯,33082.0,an,4,am2,,,ám,,えん,えん,あん,ㅇ,ㅏ,ㅁ
12291,黰,33083.0,zhen,3,zan2,,,,,しん,,,ㅈ,ㅣ,ㄴ
12292,黱,33084.0,zhen,4,,,,,,たい,,,ㄷ,ㅐ,
12293,黲,33085.0,can,3,caam2,,,,,さん,,,ㅊ,ㅏ,ㅁ
12294,黳,33086.0,,,,,,,,,,,ㅇ,ㅖ,
12295,黴,33087.0,mei,2,mei4,,,,,め,め,ばい,ㅁ,ㅣ,
12296,黵,33088.0,dan,3,daam2,,,,,たん,,,ㄷ,ㅏ,ㅁ
12297,黶,33089.0,yan,3,jim2,,,,,えん,,,ㅇ,ㅕ,ㅁ
12298,黷,33090.0,du,2,duk6,,,to̍k,,とく,,,ㄷ,ㅗ,ㄱ
12299,黸,33091.0,lu,2,lou4,,,,,ろ,,,ㄹ,ㅗ,
12300,黹,33092.0,zhi,3,zi2,chṳ́,,chí,,ち,ち,ち,ㅊ,ㅣ,
12301,黺,33093.0,fen,3,,,,,,,,,ㅂ,ㅜ,ㄴ
12302,黻,33094.0,fu,2,fat1,,,hut,,ほち,ほち,ふつ,ㅂ,ㅜ,ㄹ
12303,黼,33095.0,fu,3,fu2,,,hú,,ふ,ふ,ふ,ㅂ,ㅗ,
12304,黽,33096.0,meng,3,maang5,,,,,みょう,みょう,びん,ㅁ,ㅣ,ㄴ
12305,黿,33098.0,yuan,2,jyun4,,,,,げん,,,ㅇ,ㅝ,ㄴ
12306,鼀,33099.0,cu,4,cuk1,,,,,,,,ㅊ,ㅜ,ㄱ
12307,鼁,33100.0,qu,4,,,,,,,,,ㄱ,ㅓ,
12308,鼂,33101.0,chao,2,,,,,,ちょう,,,ㅈ,ㅗ,
12309,鼃,33102.0,,,,,,,,わい,,,ㅇ,ㅘ,
12310,鼄,33103.0,,,,,,,,,,,ㅈ,ㅜ,
12311,鼅,33104.0,,,,,,,,,,,ㅈ,ㅣ,
12312,鼆,33105.0,mang,2,man4,,,,,,,,ㅁ,ㅐ,ㅇ
12313,鼇,33106.0,,,,,,,,ごう,ごう,ごう,ㅇ,ㅗ,
12314,鼈,33107.0,,,,,,,,へち,へち,へつ,ㅂ,ㅕ,ㄹ
12315,鼉,33108.0,tuo,2,to4,,,,,た,,,ㅌ,ㅏ,
12316,鼊,33109.0,bi,4,bik1,,,,,,,,ㅂ,ㅕ,ㄱ
12317,鼎,33113.0,ding,3,ding2,tín,,tiáⁿ,2tin,ちょう,ちょう,てい,ㅈ,ㅓ,ㅇ
12318,鼏,33114.0,mi,4,mik6,,,,,べき,,,ㅁ,ㅕ,ㄱ
12319,鼐,33115.0,nai,4,naai5,,,,,どう,どう,だい,ㄴ,ㅐ,
12320,鼒,33117.0,zi,1,zi1,,,,,ざい,ざい,さい,ㅈ,ㅏ,
12321,鼓,33118.0,gu,3,gu2,kú,,kó͘,2ku,く,く,こ,ㄱ,ㅗ,
12322,鼕,33120.0,,,,,,,,とう,,,ㄷ,ㅗ,ㅇ
12323,鼖,33121.0,,,,,,,,ふん,,,ㅂ,ㅜ,ㄴ
12324,鼗,33122.0,,,,,,,,とう,,,ㄷ,ㅗ,
12325,鼘,33123.0,yuan,1,jyun1,yên,,,,,,,ㅇ,ㅕ,ㄴ
