,character,wiki_id,mando_onset,mando_nucl,mando_coda,mando_tone,canto_onset,canto_nucl,canto_coda,canto_tone,Column5,Column6,Column7,Column8,jp_on_first,jp_on_rest,jp_kan_first,jp_kan_rest,kor_0,kor_1,kor_2
3403,搄,16426,g,e,ng,1,g,a,ng,1,,,,,,,,,ㄱ,ㅡ,ㅇ
3404,搆,16428,,,,,,,,,,,,,く,∅,こ,う,ㄱ,ㅜ,∅
3405,搇,16429,,,,,,,,,,,,,,,,,ㄱ,ㅡ,ㅁ
3406,搈,16430,r,o,ng,2,j,u,ng,4,,,,,,,,,ㅇ,ㅛ,ㅇ
3407,搉,16431,q,ue,∅,4,g,o,k,3,kho̍k,,,,か,く,,,ㄱ,ㅏ,ㄱ
3408,搊,16432,ch,ou,∅,1,c,au,∅,1,,,,,しゅ,う,,,ㅊ,ㅜ,∅
3409,搋,16433,ch,uai,∅,1,c,aai,∅,1,,,,,,,,,ㅊ,ㅔ,∅
3410,搌,16434,zh,a,n,3,z,i,n,2,,,,,,,,,ㅈ,ㅓ,ㄴ
3411,搎,16435,,,,,,,,,,,,,,,,,ㅅ,ㅗ,ㄴ
3412,搏,16436,b,o,∅,2,b,o,k,3,,,ok,,は,く,,,ㅂ,ㅏ,ㄱ
3413,搑,16438,,,,,,,,,,,,,,,,,ㅇ,ㅛ,ㅇ
3414,搒,16439,p,e,ng,2,p,a,ng,4,,,,,ほ,う,,,ㅂ,ㅏ,ㅇ
3415,搓,16440,c,uo,∅,1,c,aai,∅,1,chho,,chho,,さ,∅,,,ㅊ,ㅏ,∅
3416,搔,16441,s,ao,∅,1,s,ou,∅,1,,,so,,そ,う,,,ㅅ,ㅗ,∅
3417,搕,16442,k,e,∅,1,h,a,p,1,,,,,,,,,ㄱ,ㅏ,ㅂ
3418,搖,16443,∅,yao,∅,2,j,iu,∅,4,yèu,,,,よ,う,,,ㅇ,ㅛ,∅
3419,搗,16444,d,ao,∅,3,d,ou,∅,2,,,táu,,と,う,と,う,ㄷ,ㅗ,∅
3420,搙,16446,n,u,∅,4,n,u,k,6,,,,,ぬ,∅,,,ㄴ,ㅗ,ㄱ
3421,搚,16447,,,,,,,,,,,,,,,,,ㄹ,ㅏ,ㅂ
3422,搢,16455,j,i,n,4,z,eo,n,3,,,,,し,ん,,,ㅈ,ㅣ,ㄴ
3423,搣,16456,m,ie,∅,4,m,i,t,1,met,mêd5,,,,,,,ㅁ,ㅕ,ㄹ
3424,搤,16457,,,,,,,,,,,,,あ,く,,,ㅇ,ㅐ,ㄱ
3425,搥,16458,,,,,,,,,,,,,た,い,,,ㅊ,ㅜ,∅
3426,搦,16459,n,uo,∅,4,n,i,k,1,,,la̍k,,にゃ,く,だ,く,ㄴ,ㅣ,ㄱ
3427,搩,16462,,,,,,,,,,,,,け,つ,,,ㄱ,ㅓ,ㄹ
3428,搪,16463,t,a,ng,2,t,o,ng,4,,,tông,,と,う,,,ㄷ,ㅏ,ㅇ
3429,搫,16464,p,a,n,2,b,u,n,1,,,,,,,,,ㅂ,ㅏ,ㄴ
3430,搭,16466,d,a,∅,1,d,aa,p,3,tap,,tah,4taq,と,う,,,ㅌ,ㅏ,ㅂ
3431,搮,16467,,,,,,,,,,,,,,,,,ㄹ,ㅠ,ㄹ
3432,搰,16469,h,u,∅,2,w,a,t,6,,,,,こ,つ,,,ㄱ,ㅗ,ㄹ
3433,搴,16473,q,ia,n,1,h,i,n,1,,,,,け,ん,,,ㄱ,ㅓ,ㄴ
3434,搵,16474,∅,we,n,4,w,a,n,3,vun,,ùn,,お,ん,,,ㅇ,ㅗ,ㄴ
3435,搶,16475,q,ia,ng,3,c,oe,ng,2,chhióng,,,,しょ,う,,,ㅊ,ㅏ,ㅇ
3436,搷,16476,t,ia,n,2,t,i,n,4,,,,,,,,,ㅈ,ㅓ,ㄴ
3437,搸,16477,zh,e,n,1,z,eo,n,1,,,,,,,,,ㅈ,ㅣ,ㄴ
3438,搹,16478,,,,,,,,,,,,,,,,,ㄱ,ㅕ,ㄱ
3439,携,16479,,,,,,,,,,,,,え,∅,け,い,ㅎ,ㅠ,∅
3440,摇,16492,,,,,,,,,,,,,よ,う,,,ㅇ,ㅛ,∅
3441,摋,16496,s,a,∅,4,s,aa,t,3,,,,,さ,つ,,,ㅅ,ㅏ,ㄹ
3442,摌,16497,ch,a,n,3,c,aa,n,2,,,,,,,,,ㅅ,ㅏ,ㄴ
3443,摍,16498,,,,,,,,,,,,,,,,,ㅅ,ㅜ,ㄱ
3444,摎,16499,j,iu,∅,1,g,au,∅,1,lâu,,,,きょ,う,きゅ,う,ㄱ,ㅠ,∅
3445,摏,16500,,,,,,,,,,,,,しょ,う,,,ㅇ,ㅛ,ㅇ
3446,摐,16501,ch,ua,ng,1,c,u,ng,1,,,,,,,,,ㅊ,ㅏ,ㅇ
3447,摒,16503,b,i,ng,4,b,i,ng,2,piang,,piaⁿ,,へ,い,,,ㅂ,ㅕ,ㅇ
3448,摕,16506,,,,,,,,,,,,,,,,,ㅈ,ㅔ,∅
3449,摖,16507,,,,,,,,,,,,,,,,,ㅊ,ㅔ,∅
3450,摗,16508,s,ou,∅,1,c,u,k,1,,,,,,,,,ㅅ,ㅜ,∅
3451,摘,16509,zh,ai,∅,1,z,aa,k,6,chak,,tiak,,て,き,,,ㅈ,ㅓ,ㄱ
3452,摙,16510,,,,,,,,,,,,,,,,,ㄹ,ㅕ,ㄴ
3453,摛,16512,ch,i,∅,1,c,i,∅,1,,,,,ち,∅,,,ㄹ,ㅣ,∅
3454,摜,16513,g,ua,n,4,gw,aa,n,3,,,,,か,ん,,,ㄱ,ㅘ,ㄴ
3455,摝,16514,,,,,,,,,,,,,ろ,く,,,ㄹ,ㅗ,ㄱ
3456,摞,16515,l,uo,∅,4,l,o,∅,3,,,,,,,,,ㄹ,ㅏ,∅
3457,摟,16516,l,ou,∅,3,l,au,∅,5,lèu,,,,ろ,う,,,ㄹ,ㅜ,∅
3458,摡,16518,g,ai,∅,4,g,oi,∅,3,,,,,か,い,,,ㄱ,ㅐ,∅
3459,摣,16520,zh,a,∅,1,z,aa,∅,1,,,,,さ,∅,,,ㅅ,ㅏ,∅
3460,摤,16521,ch,ua,ng,3,c,oe,ng,2,,,,,,,,,ㅊ,ㅏ,ㅇ
3461,摦,16523,h,ua,∅,4,w,aa,∅,6,,,,,,,,,ㅎ,ㅘ,∅
3462,摧,16524,c,ui,∅,1,c,eoi,∅,1,,,chhui,,ざ,い,さ,い,ㅊ,ㅚ,∅
3463,摨,16525,n,ai,∅,2,n,aai,∅,4,,,,,,,,,ㄴ,ㅐ,∅
3464,摩,16526,m,o,∅,2,m,o,∅,1,mô,,mô͘,3mu,ま,∅,ば,∅,ㅁ,ㅏ,∅
3465,摫,16528,g,ui,∅,1,kw,ai,∅,1,,,,,,,,,ㄱ,ㅠ,∅
3466,摬,16529,∅,yi,ng,3,j,i,ng,2,,,,,,,,,ㅇ,ㅕ,ㅇ
3467,摭,16530,zh,i,∅,2,z,e,k,3,,,,,せ,き,,,ㅊ,ㅓ,ㄱ
3468,摮,16531,∅,ao,∅,2,ng,ou,∅,4,,,,,,,,,ㅇ,ㅗ,∅
3469,摯,16532,zh,i,∅,4,z,i,∅,3,,,,,し,∅,,,ㅈ,ㅣ,∅
3470,摲,16535,ch,a,n,4,s,aa,m,3,,,,,,,,,ㅊ,ㅏ,ㅁ
3471,摳,16536,k,ou,∅,1,k,au,∅,1,,,io,,こ,う,,,ㄱ,ㅜ,∅
3472,摴,16537,ch,u,∅,1,s,yu,∅,1,,,,,ちょ,∅,,,ㅈ,ㅓ,∅
3473,摵,16538,,,,,,,,,,,,,,,,,ㅅ,ㅐ,ㄱ
3474,摶,16539,t,ua,n,2,t,yu,n,4,,,,,だ,ん,た,ん,ㄷ,ㅏ,ㄴ
3475,摷,16540,,,,,,,,,,,,,,,,,ㅊ,ㅗ,∅
3476,摸,16541,m,o,∅,1,m,o,∅,2,miâ,,,,ま,く,ば,く,ㅁ,ㅗ,∅
3477,摺,16543,zh,e,∅,2,z,i,p,3,chap,,chih,,しょ,う,,,ㅈ,ㅓ,ㅂ
3478,摻,16544,ch,a,n,1,c,aa,m,1,chhâm,,chham,,さ,ん,,,ㅅ,ㅓ,ㅁ
3479,摼,16545,k,e,ng,1,h,a,ng,1,,,,,,,,,ㄱ,ㅕ,ㅇ
3480,摽,16546,b,iao,∅,1,b,iu,∅,1,,,,,ひょ,う,,,ㅍ,ㅛ,∅
3481,撅,16554,j,ue,∅,1,k,yu,t,3,,,,,け,つ,,,ㄱ,ㅞ,∅
3482,撆,16555,,,,,,,,,,,,,,,,,ㄴ,ㅐ,∅
3483,撈,16557,l,ao,∅,1,,,,,,,,1'lau,ろ,う,ろ,う,ㄹ,ㅗ,∅
3484,撋,16560,,,,,,,,,,,,,,,,,ㅇ,ㅕ,ㄴ
3485,撍,16562,,,,,,,,,,,,,,,,,ㅈ,ㅏ,ㅁ
3486,撎,16563,,,,,,,,,,,,,,,,,ㅇ,ㅢ,∅
3487,撏,16564,x,ia,n,2,c,i,m,4,,,siâm,,さ,ん,,,ㅈ,ㅏ,ㅁ
3488,撓,16568,n,ao,∅,2,n,aau,∅,4,,,lâu,,にょ,う,ど,う,ㅇ,ㅛ,∅
3489,撕,16570,s,i,∅,1,s,i,∅,1,,,si,,せ,い,,,ㅅ,ㅓ,∅
3490,撖,16571,h,a,n,4,h,aa,m,5,,,,,,,,,ㄱ,ㅏ,ㅁ
3491,撙,16574,z,u,n,3,z,yu,n,2,chún,,,,そ,ん,,,ㅈ,ㅜ,ㄴ
3492,撚,16575,n,ia,n,3,n,a,n,2,ngién,,lián,,ね,ん,,,ㄴ,ㅕ,ㄴ
3493,撛,16576,,,,,,,,,,,,,り,ん,,,ㄹ,ㅣ,ㄴ
3494,撜,16577,zh,e,ng,3,c,aa,ng,4,,,,,,,,,ㅈ,ㅡ,ㅇ
3495,撝,16578,h,ui,∅,1,f,ai,∅,1,,,,,き,∅,,,ㅎ,ㅟ,∅
3496,撞,16579,zh,ua,ng,4,z,o,ng,6,chhong,,tōng,3zaan,ど,う,と,う,ㄷ,ㅏ,ㅇ
3497,撟,16580,j,iao,∅,3,g,iu,∅,2,,,,,きょ,う,,,ㄱ,ㅛ,∅
3498,撠,16581,,,,,,,,,,,,,,,,,ㄱ,ㅡ,ㄱ
3499,撢,16583,t,a,n,4,t,aa,m,2,,,,,,,,,ㅌ,ㅏ,ㅁ
3500,撣,16584,d,a,n,3,d,aa,n,6,,,,,た,ん,,,ㅌ,ㅏ,ㄴ
3501,撤,16585,ch,e,∅,4,c,i,t,3,,,,,て,ち,て,つ,ㅊ,ㅓ,ㄹ
3502,撥,16586,b,o,∅,1,b,u,t,6,pat,bad5,poah,4peq,は,ち,は,つ,ㅂ,ㅏ,ㄹ
3503,撦,16587,,,,,,,,,,,,,しゃ,∅,,,ㅊ,ㅏ,∅
3504,撨,16589,x,iao,∅,1,s,iu,∅,1,,,,,しょ,う,しょ,う,ㅊ,ㅗ,∅
3505,撩,16590,l,iao,∅,2,l,iu,∅,4,liàu,,liâu,,りょ,う,りょ,う,ㄹ,ㅛ,∅
3506,撫,16592,f,u,∅,3,f,u,∅,2,,,hú,,ふ,∅,ふ,∅,ㅁ,ㅜ,∅
3507,撰,16597,zh,ua,n,4,z,aa,n,6,,,,,せ,ん,さ,ん,ㅊ,ㅏ,ㄴ
3508,撱,16598,,,,,,,,,,,,,,,,,ㅌ,ㅏ,∅
3509,撲,16599,p,u,∅,1,p,u,k,1,phu,,ok,4phoq,ほ,く,ほ,く,ㅂ,ㅏ,ㄱ
3510,撳,16600,q,i,n,4,g,a,m,6,khim,kim4,,2qin,き,ん,,,ㅎ,ㅡ,ㅁ
3511,撻,16608,t,a,∅,4,t,aa,t,3,,,that,,た,ち,,,ㄷ,ㅏ,ㄹ
3512,撼,16609,h,a,n,4,h,a,m,6,,,hām,,ご,ん,か,ん,ㄱ,ㅏ,ㅁ
3513,撿,16612,j,ia,n,3,g,i,m,2,,,kiám,,れ,ん,,,ㄱ,ㅓ,ㅁ
3514,擃,16616,,,,,,,,,,,,,,,,,ㄴ,ㅏ,ㅇ
3515,擄,16617,l,u,∅,3,l,ou,∅,5,,,ló͘,,りょ,∅,,,ㄹ,ㅗ,∅
3516,擅,16618,sh,a,n,4,s,i,n,6,,,siān,,せ,ん,,,ㅊ,ㅓ,ㄴ
3517,擆,16619,,,,,,,,,,,,,,,,,ㅊ,ㅏ,ㄱ
3518,擇,16620,z,e,∅,2,z,aa,k,6,chhe̍t,,,5zeq,じゃ,く,た,く,ㅌ,ㅐ,ㄱ
3519,擉,16622,ch,uo,∅,4,c,o,k,3,,,,,さ,く,,,ㅊ,ㅏ,ㄱ
3520,擋,16624,d,a,ng,3,d,o,ng,2,,,tóng,,と,う,,,ㄷ,ㅏ,ㅇ
3521,擌,16625,s,e,∅,4,s,aa,k,3,,,,,さ,く,,,ㅅ,ㅐ,ㄱ
3522,操,16626,c,ao,∅,1,c,ou,∅,1,chhâu,,chhau,,そ,う,そ,う,ㅈ,ㅗ,∅
3523,擎,16627,q,i,ng,2,k,i,ng,4,khià,,êng,,け,い,,,ㄱ,ㅕ,ㅇ
3524,擐,16629,h,ua,n,4,gw,aa,n,3,,,,,か,ん,,,ㅎ,ㅘ,ㄴ
3525,擒,16631,q,i,n,2,k,a,m,4,,,îm,,ご,ん,き,ん,ㄱ,ㅡ,ㅁ
3526,擔,16633,d,a,n,1,d,aa,m,1,tâm,,taⁿ,1te,た,ん,た,ん,ㄷ,ㅏ,ㅁ
3527,擖,16635,k,a,∅,1,k,aa,∅,1,,,,,,,,,ㄱ,ㅏ,ㄹ
3528,擗,16636,p,i,∅,3,p,i,k,1,,,,,へ,き,,,ㅂ,ㅕ,ㄱ
3529,擘,16637,b,o,∅,4,m,aa,k,3,pak,,,,は,く,,,ㅂ,ㅕ,ㄱ
3530,據,16639,j,u,∅,4,g,eoi,∅,3,kí,,kìr,2jy,きょ,∅,,,ㄱ,ㅓ,∅
3531,擟,16644,,,,,,,,,,,,,,,,,ㅁ,ㅣ,∅
3532,擠,16645,j,i,∅,3,z,ai,∅,1,,,ché,,さ,い,せ,い,ㅈ,ㅔ,∅
3533,擡,16646,,,,,,,,,,,,,た,い,,,ㄷ,ㅐ,∅
3534,擢,16647,zh,uo,∅,2,z,o,k,6,,,,,だ,く,た,く,ㅌ,ㅏ,ㄱ
3535,擣,16648,,,,,,,,,,,,,と,う,と,う,ㄷ,ㅗ,∅
3536,擧,16652,,,,,,,,,,,,,こ,∅,きょ,∅,ㄱ,ㅓ,∅
3537,擨,16653,,,,,,,,,,,,,,,,,ㅇ,ㅑ,∅
3538,擩,16654,r,u,∅,3,j,eoi,∅,5,,,,,にゅ,∅,じゅ,∅,ㅇ,ㅠ,∅
3539,擪,16655,,,,,,,,,,,,,よ,う,,,ㅇ,ㅕ,ㅂ
3540,擬,16657,n,i,∅,3,j,i,∅,5,,ngi3,gí,,ご,∅,ぎ,∅,ㅇ,ㅢ,∅
3541,擭,16658,h,u,∅,4,f,aa,∅,6,,,,,わ,く,,,ㅎ,ㅘ,∅
3542,擯,16660,b,i,n,4,b,a,n,3,,,,,ひ,ん,,,ㅂ,ㅣ,ㄴ
3543,擳,16664,,,,,z,i,t,1,,,,,,,,,ㅈ,ㅡ,ㄹ
3544,擴,16665,k,uo,∅,4,kw,o,k,3,,,ok,,か,く,か,く,ㅎ,ㅘ,ㄱ
3545,擷,16668,x,ie,∅,2,k,i,t,3,,,,,け,つ,,,ㅎ,ㅣ,ㄹ
3546,擸,16669,l,ie,∅,4,l,i,p,6,,,,,,,,,ㄹ,ㅕ,ㅂ
3547,擹,16670,,,,,,,,,,,,,,,,,ㅌ,ㅏ,ㄴ
3548,擺,16671,b,ai,∅,3,b,aai,∅,2,pái,bai3,pái,2pa,は,い,,,ㅍ,ㅏ,∅
3549,擻,16672,s,ou,∅,3,s,au,∅,3,,,,,そ,う,,,ㅅ,ㅜ,∅
3550,擾,16674,r,ao,∅,3,j,iu,∅,2,,iau3,,,にょ,う,じょ,う,ㅇ,ㅛ,∅
3551,擿,16675,zh,i,∅,4,z,e,k,3,,,,,て,き,,,ㅈ,ㅓ,ㄱ
3552,攀,16676,p,a,n,1,p,aa,n,1,phân,,an,,は,ん,,,ㅂ,ㅏ,ㄴ
3553,攂,16678,l,ei,∅,4,l,eoi,∅,4,,,,,,,,,ㄹ,ㅚ,∅
3554,攃,16679,,,,,,,,,,,,,,,,,ㅊ,ㅏ,ㄹ
3555,攄,16680,sh,u,∅,1,s,yu,∅,1,,,,,ちょ,∅,,,ㅌ,ㅓ,∅
3556,攅,16681,,,,,,,,,,,,,さ,ん,,,ㅊ,ㅏ,ㄴ
3557,攇,16683,x,ia,n,3,h,i,n,2,,,,,,,,,ㅎ,ㅓ,ㄴ
3558,攈,16684,p,ei,∅,4,,,,,,,,,く,ん,,,ㄱ,ㅜ,ㄴ
3559,攉,16685,h,uo,∅,1,f,o,k,3,vok,,,,か,く,,,ㅎ,ㅘ,ㄱ
3560,攊,16686,,,,,,,,,,,,,ふ,き,,,ㄹ,ㅕ,ㄱ
3561,攋,16687,l,a,∅,4,,,,,,,,,,,,,ㄹ,ㅏ,ㄹ
3562,攎,16690,l,u,∅,2,l,ou,∅,4,,,,,,,,,ㄹ,ㅗ,∅
3563,攏,16691,l,o,ng,3,l,u,ng,5,lûng,,lóng,,ろ,う,,,ㄹ,ㅗ,ㅇ
3564,攐,16692,,,,,,,,,,,,,,,,,ㄱ,ㅓ,ㄴ
3565,攑,16693,q,ia,n,1,h,i,n,1,,,,,,,,,ㄱ,ㅓ,∅
3566,攔,16696,l,a,n,2,l,aa,n,4,làn,,lân,,ら,ん,,,ㄹ,ㅏ,ㄴ
3567,攕,16697,x,ia,n,1,s,aa,m,1,,,,,,,,,ㅅ,ㅓ,ㅁ
3568,攖,16698,∅,yi,ng,1,j,i,ng,1,,,,,え,い,,,ㅇ,ㅕ,ㅇ
3569,攗,16699,m,ei,∅,2,m,ei,∅,4,,,,,,,,,ㅁ,ㅣ,∅
3570,攘,16700,r,a,ng,2,j,oe,ng,4,,,,,じょ,う,,,ㅇ,ㅑ,ㅇ
3571,攙,16701,ch,a,n,1,c,aa,m,1,,,chham,,せ,ん,さ,ん,ㅊ,ㅏ,ㅁ
3572,攛,16703,c,ua,n,1,c,yu,n,1,,,,,さ,ん,,,ㅊ,ㅏ,ㄴ
3573,攝,16705,sh,e,∅,4,s,i,p,3,ngiap,,siap,,しょ,う,しょ,う,ㅅ,ㅓ,ㅂ
3574,攡,16709,ch,i,∅,1,c,i,∅,1,,,,,,,,,ㄹ,ㅣ,∅
3575,攤,16712,t,a,n,1,t,aa,n,1,thân,tan1,thoaⁿ,1the,た,ん,,,ㅌ,ㅏ,ㄴ
3576,攥,16713,z,ua,n,4,z,aa,n,6,,,,,,,,,ㅊ,ㅘ,ㄹ
3577,攨,16716,∅,wa,∅,1,,,,,,,,,,,,,ㅇ,ㅘ,∅
3578,攩,16717,,,,,,,,,,,,,と,う,,,ㄷ,ㅏ,ㅇ
3579,攪,16718,j,iao,∅,3,g,aau,∅,2,káu,,kiáu,2kau,きょ,う,こ,う,ㄱ,ㅛ,∅
3580,攫,16719,,,,,,,,,,,,,か,く,きゃ,く,ㅎ,ㅘ,ㄱ
3581,攬,16720,l,a,n,3,l,aa,m,5,lám,,lám,3le,ら,ん,,,ㄹ,ㅏ,ㅁ
3582,攮,16722,n,a,ng,3,n,o,ng,5,,,,,ど,う,,,ㄴ,ㅏ,ㅇ
3583,支,16723,zh,i,∅,1,z,i,∅,1,kî,,ki,1tsr,し,∅,し,∅,ㅈ,ㅣ,∅
3584,攱,16725,g,ui,∅,3,gw,ai,∅,2,,,,,き,∅,き,∅,ㄱ,ㅞ,∅
3585,攲,16726,q,i,∅,1,k,ei,∅,1,,,i,,,,,,ㄱ,ㅣ,∅
3586,攴,16728,p,u,∅,1,b,o,k,1,phuk,,ok,,ほ,く,,,ㅂ,ㅗ,ㄱ
3587,收,16730,sh,ou,∅,1,s,au,∅,1,sû,,siu,1seu,す,∅,しゅ,う,ㅅ,ㅜ,∅
3588,攷,16731,,,,,,,,,,,,,こ,う,こ,う,ㄱ,ㅗ,∅
3589,攸,16732,∅,you,∅,1,j,au,∅,4,,,iu,,ゆ,∅,ゆ,う,ㅇ,ㅠ,∅
3590,改,16733,g,ai,∅,3,g,oi,∅,2,kói,,,2ke,か,い,か,い,ㄱ,ㅐ,∅
3591,攺,16734,,,,,,,,,,,,,い,∅,,,ㅇ,ㅣ,∅
3592,攻,16735,g,o,ng,1,g,u,ng,1,kûng,gung1,kong,,く,∅,こ,う,ㄱ,ㅗ,ㅇ
3593,攽,16737,,,,,,,,,,,,,は,ん,,,ㅂ,ㅏ,ㄴ
3594,放,16738,f,a,ng,4,f,o,ng,3,piong,,hòng,2faan,ほ,う,ほ,う,ㅂ,ㅏ,ㅇ
3595,政,16739,zh,e,ng,4,z,i,ng,3,chṳn,,chèng,2tsen,しょ,う,せ,い,ㅈ,ㅓ,ㅇ
3596,敀,16740,p,o,∅,4,b,aa,k,3,,,,,,,,,ㅂ,ㅏ,ㄱ
3597,敁,16741,d,ia,n,1,d,i,m,1,,,,,,,,,ㅊ,ㅓ,ㅁ
3598,敂,16742,,,,,,,,,,,,,,,,,ㄱ,ㅜ,∅
3599,敃,16743,m,i,n,3,m,a,n,5,,,,,び,ん,,,ㅁ,ㅣ,ㄴ
3600,敄,16744,,,,,,,,,,,,,,,,,ㅁ,ㅜ,∅
3601,故,16745,g,u,∅,4,g,u,∅,3,ku,,kò͘,2ku,く,∅,こ,∅,ㄱ,ㅗ,∅
3602,效,16748,x,iao,∅,4,h,aau,∅,6,háu,,hāu,,ぎょ,う,こ,う,ㅎ,ㅛ,∅
3603,敉,16749,,,,,,,,,,,,,び,∅,,,ㅁ,ㅣ,∅
3604,敊,16750,ch,u,∅,4,c,u,k,1,,,,,,,,,ㅊ,ㅜ,ㄱ
3605,敌,16752,,,,,,,,,,,,,,,,,ㅎ,ㅘ,ㄹ
3606,敎,16754,,,,,,,,,,,,,きょ,う,,,ㄱ,ㅛ,∅
3607,敏,16755,m,i,n,3,m,a,n,5,men,,bín,3min,み,ん,び,ん,ㅁ,ㅣ,ㄴ
3608,敐,16756,,,,,,,,,,,,,し,ん,,,ㅈ,ㅣ,ㄴ
3609,救,16757,j,iu,∅,4,g,au,∅,3,kiu,,kiù,,く,∅,きゅ,う,ㄱ,ㅜ,∅
3610,敔,16760,∅,yu,∅,3,j,yu,∅,5,,,,,ぎょ,∅,,,ㅇ,ㅓ,∅
3611,敕,16761,ch,i,∅,4,c,i,k,1,,,,,ちょ,く,,,ㅊ,ㅣ,ㄱ
3612,敖,16762,∅,ao,∅,2,ng,ou,∅,4,,,gô,,ご,う,,,ㅇ,ㅗ,∅
3613,敗,16763,b,ai,∅,4,b,aai,∅,6,,,pāi,,へ,∅,は,い,ㅍ,ㅐ,∅
3614,敘,16764,x,u,∅,4,z,eoi,∅,6,,,sǐr,,じょ,∅,,,ㅅ,ㅓ,∅
3615,教,16765,j,iao,∅,1,g,aau,∅,3,kâu,,kà,2kau,きょ,う,こ,う,ㄱ,ㅛ,∅
3616,敚,16766,,,,,,,,,,,,,,,,,ㅌ,ㅏ,ㄹ
3617,敜,16768,n,ie,∅,4,n,i,p,6,,,,,,,,,ㄴ,ㅕ,ㅂ
3618,敝,16769,b,i,∅,4,b,ai,∅,6,,,,,べ,∅,へ,い,ㅍ,ㅖ,∅
3619,敞,16770,ch,a,ng,3,c,o,ng,2,,,,,しょ,う,しょ,う,ㅊ,ㅏ,ㅇ
3620,敠,16772,,,,,,,,,,,,,た,つ,,,ㅊ,ㅓ,ㄹ
3621,敡,16773,∅,yi,∅,4,,,,,,,,,い,∅,,,ㅇ,ㅣ,∅
3622,敢,16774,g,a,n,3,g,a,m,2,kám,gam3,káⁿ,,か,ん,,,ㄱ,ㅏ,ㅁ
3623,散,16775,s,a,n,3,s,aa,n,2,san,,sóaⁿ,2se,さ,ん,さ,ん,ㅅ,ㅏ,ㄴ
3624,敤,16776,,,,,,,,,,,,,,,,,ㄱ,ㅘ,∅
3625,敦,16778,d,u,n,1,d,eo,n,1,tûn,,tun,1ten,と,ん,と,ん,ㄷ,ㅗ,ㄴ
3626,敫,16783,j,iao,∅,3,g,iu,∅,3,,,,,せ,く,,,ㄱ,ㅛ,∅
3627,敬,16784,j,i,ng,4,g,i,ng,3,kin,,kèng,,きょ,う,け,い,ㄱ,ㅕ,ㅇ
3628,敭,16785,,,,,,,,,,,,,よ,う,,,ㅇ,ㅑ,ㅇ
3629,敮,16786,,,,,,,,,,,,,,,,,ㅎ,ㅏ,ㅂ
3630,敲,16789,q,iao,∅,1,h,aau,∅,1,khau,,à,,きょ,う,,,ㄱ,ㅗ,∅
3631,敳,16791,,,,,,,,,,,,,,,,,ㅇ,ㅐ,∅
3632,整,16792,zh,e,ng,3,z,i,ng,2,cháng,,chéng,,しょ,う,せ,い,ㅈ,ㅓ,ㅇ
3633,敵,16793,d,i,∅,2,d,i,k,6,thi̍t,,,5diq,じゃ,く,て,き,ㅈ,ㅓ,ㄱ
3634,敶,16794,,,,,,,,,,,,,,,,,ㅈ,ㅣ,ㄴ
3635,敷,16795,f,u,∅,1,f,u,∅,1,,,,,ふ,∅,ふ,∅,ㅂ,ㅜ,∅
3636,數,16796,sh,u,∅,3,s,ou,∅,2,,,siàu,2su,さ,く,さ,く,ㅅ,ㅜ,∅
3637,敹,16797,,,,,,,,,,,,,,,,,ㄹ,ㅛ,∅
3638,敺,16798,,,,,,,,,,,,,く,∅,く,∅,ㄱ,ㅜ,∅
3639,敻,16799,,,,,,,,,,,,,け,い,,,ㅎ,ㅕ,ㄴ
3640,敽,16801,,,,,,,,,,,,,きょ,う,,,ㄱ,ㅛ,∅
3641,斀,16804,zh,uo,∅,2,z,oe,k,3,,,,,,,,,ㅌ,ㅏ,ㄱ
3642,斁,16805,∅,yi,∅,4,j,i,k,6,,,,,え,き,,,ㄷ,ㅜ,∅
3643,斃,16807,b,i,∅,4,b,ai,∅,6,pi,,,3bi,べ,∅,へ,い,ㅍ,ㅖ,∅
3644,斄,16808,,,,,,,,,,,,,,,,,ㅌ,ㅐ,∅
3645,斅,16809,x,iao,∅,4,h,aau,∅,6,,,,,こ,う,,,ㅎ,ㅛ,∅
3646,斌,16815,,,,,,,,,,,,,ひ,ん,,,ㅂ,ㅣ,ㄴ
3647,斐,16819,f,ei,∅,3,f,ei,∅,2,,,,,ひ,∅,,,ㅂ,ㅣ,∅
3648,斑,16820,b,a,n,1,b,aa,n,1,pân,,pan,,へ,ん,は,ん,ㅂ,ㅏ,ㄴ
3649,斒,16821,b,a,n,1,b,aa,n,1,,,,,は,ん,,,ㅂ,ㅏ,ㄴ
3650,斕,16824,l,a,n,2,l,aa,n,4,,,,,ら,ん,,,ㄹ,ㅏ,ㄴ
3651,斖,16825,∅,wei,∅,3,m,ei,∅,5,,,,,,,,,ㅁ,ㅣ,∅
3652,斗,16826,d,ou,∅,3,d,au,∅,2,téu,,táu,2teu,つ,∅,と,う,ㄷ,ㅜ,∅
3653,料,16828,l,iao,∅,4,l,iu,∅,6,liau,,liāu,3liau,りょ,う,りょ,う,ㄹ,ㅛ,∅
3654,斛,16830,h,u,∅,2,h,u,k,6,,,ho̍k,,ご,く,こ,く,ㄱ,ㅗ,ㄱ
3655,斜,16831,x,ie,∅,2,c,e,∅,4,,,siâ,,じゃ,∅,しゃ,∅,ㅅ,ㅏ,∅
3656,斝,16832,j,ia,∅,3,g,aa,∅,2,,,,,か,∅,,,ㄱ,ㅏ,∅
