character	index	tone_label	Zhengzhang_onset	Zhengzhang_nucleus	Zhengzhang_coda	Pan_onset	Pan_nucleus	Pan_coda	Shao_onset	Shao_nucleus	Shao_coda	Pulleyblank_onset	Pulleyblank_nucleus	Pulleyblank_coda	Li_onset	Li_nucleus	Li_coda	Karlgren_onset	Karlgren_nucleus	Karlgren_coda
孝	5619185	departing	h	ˠau	∅	h	ᵚau	∅	x	au	∅	h	aɨw	∅	x	au	∅	x	au	∅
𡥈	5619189	departing	k	ˠau	∅	k	ᵚau	∅	k	au	∅	k	aɨw	∅	k	au	∅	k	au	∅
孟	5619192	departing	m	ˠæ	ŋ	m	ᵚa	ŋ	m	a	ŋ	m	aɨj	ŋ	m	ɐ	ŋ	m	ɐ	ŋ
孠	5619195	departing	z	ɨ	∅	z	ɨ	∅	z	ie	∅	z	ɨ	∅	z	iə	∅	z	i	∅
孡	5619198	level	tʰ	ʌi	∅	tʰ	əi	∅	tʰ	ɒi	∅	tʰ	əj	∅	tʰ	ᴀi	∅	tʰ	ɑ̆i	∅
季	5619201	departing	k	iuɪ	∅	k	ʷi	∅	k	juɪ	∅	k	wi	∅	k	ui	∅	k	wi	∅
孤	5619204	level	k	uo	∅	k	uo	∅	k	o	∅	k	ɔ	∅	k	o	∅	k	uo	∅
孨	5619210	rising	t͡ɕ	iuᴇ	n	t͡ɕ	ʷiɛ	n	t͡ɕ	juæ	n	c	wia	n	t͡ɕ	iuɛ	n	t͡ɕ	i̯wɛ	n
孩	5619213	level	ɦ	ʌi	∅	ɦ	əi	∅	ɣ	ɒi	∅	ɦ	əj	∅	ɣ	ᴀi	∅	ɣ	ɑ̆i	∅
孫	5619216	level	s	uə	n	s	uo	n	s	uə	n	s	wə	n	s	uə	n	s	uə	n
㝂	5619219	departing	t͡ɕ	iᴇi	∅	t͡ɕ	iɛi	∅	t͡ɕ	jæi	∅	c	iaj	∅	t͡ɕ	iɛi	∅	t͡ɕ	i̯ɛi	∅
㝃	5619222	rising	m	ʉɐ	n	m	ʷiɐ	n	m	iuɐ	n	m	ua	n	m	iuɐ	n	m	i̯wɐ	n
孮	5619225	level	d͡z	uo	ŋ	d͡z	uo	ŋ	d͡z	o	ŋ	d͡z	aw	ŋ	d͡z	o	ŋ	d͡zʱ	uo	ŋ
孰	5619228	checked	d͡ʑ	ɨu	k̚	d͡ʑ	iu	k̚	d͡ʑ	iu	k̚	d͡ʑ	uw	k̚	ʑ	iu	k̚	ʑ	i̯u	k̚
孱	5619231	level	d͡ʒ	ˠɛ	n	ɖ͡ʐ	ᵚæ	n	d͡ʒ	æ	n	ɖ͡ʐ	əɨ	n	d͡ʒ	ɛ	n	ɖ͡ʐʱ	ă	n
孳	5619234	level	t͡s	ɨ	∅	t͡s	ɨ	∅	t͡s	ie	∅	t͡s	ɨ	∅	t͡s	iə	∅	t͡s	i	∅
孴	5619237	rising	ŋ	ɨ	∅	ŋ	ɨ	∅	ŋ	ie	∅	ŋ	ɨ	∅	ŋ	iə	∅	ŋ	i	∅
㝅	5619240	rising	n	əu	∅	n	əu	∅	n	əu	∅	n	əw	∅	n	u	∅	n	ə̯u	∅
𡦄	5619243	level	b	ɨu	∅	b	iu	∅	b	iəu	∅	b	uw	∅	b	iu	∅	bʱ	i̯ə̯u	∅
孵	5619246	level	pʰ	ɨo	∅	pʰ	io	∅	pʰ	io	∅	pʰ	uə	̆	pʰ	io	∅	pʰ	i̯u	∅
孷	5619249	level	l	ɨ	∅	l	ɨ	∅	l	ie	∅	l	ɨ	∅	l	iə	∅	l	i	∅
學	5619256	checked	ɦ	ˠʌ	k̚	ɦ	ᵚɔ	k̚	ɣ	ɔ	k̚	ɦ	aɨw	k̚	ɣ	ɔ	k̚	ɣ	ɔ	k̚
孺	5619259	departing	ȵ	ɨo	∅	ȵ	io	∅	ȵʑ	io	∅	ȵ	uə	̆	ȵ	io	∅	ȵʑ	i̯u	∅
孼	5619262	checked	ŋ	ˠiᴇ	t̚	ŋ	ᵚiɛ	t̚	ŋ	iæ	t̚	ŋ	ia	t̚	ŋ	jɛ	t̚	ŋ	i̯ɛ	t̚
𡦳	5619265	departing	h	ˠau	∅	h	ᵚau	∅	x	au	∅	h	aɨw	∅	x	au	∅	x	au	∅
㝈	5619268	departing	ʃ	ˠua	n	ʃ	ʷᵚa	n	ʃ	uɐ	n	ʂ	waɨ	n	ʃ	ua	n	ʂ	wa	n
宀	5619271	level	m	iᴇ	n	m	iɛ	n	m	jæ	n	m	ia	n	m	iɛ	n	m	i̯ɛ	n
宁	5619275	level	ɖ	ɨʌ	∅	ɖ	iɔ	∅	ȡ	iɔ	∅	ɖ	ɨə	̆	ȡ	iɔ	∅	ȡʱ	i̯wo	∅
宂	5619278	rising	ȵ	ɨo	ŋ	ȵ	io	ŋ	ȵʑ	io	ŋ	ȵ	uaw	ŋ	ȵ	io	ŋ	ȵʑ	i̯wo	ŋ
它	5619283	level	tʰ	ɑ	∅	tʰ	ɑ	∅	tʰ	ɑ	∅	tʰ	a	∅	tʰ	ɑ	∅	tʰ	ɑ	∅
宄	5619286	rising	k	ˠiuɪ	∅	k	ʷᵚi	∅	k	iuɪ	∅	k	jwi	∅	k	jui	∅	k	wi	∅
𡦼	5619289	rising	ȵ	ɨo	ŋ	ȵ	io	ŋ	ȵʑ	io	ŋ	ȵ	uaw	ŋ	ȵ	io	ŋ	ȵʑ	i̯wo	ŋ
宅	5619292	checked	ɖ	ˠæ	k̚	ɖ	ᵚa	k̚	ȡ	a	k̚	ɖ	aɨj	k̚	ȡ	ɐ	k̚	ȡʱ	ɐ	k̚
宇	5619295	rising	ɦ	ɨo	∅	ɦ	io	∅	ɣ	io	∅	ɦ	uə	̆	ɣ	io	∅	∅	i̯u	∅
守	5619298	rising	ɕ	ɨu	∅	ɕ	iu	∅	ɕ	iəu	∅	ɕ	uw	∅	ɕ	iu	∅	ɕ	i̯ə̯u	∅
安	5619301	level	ʔ	ɑ	n	ʔ	ɑ	n	ʔ	ɑ	n	ʔ	a	n	ʔ	ɑ	n	ʔ	ɑ	n
㝌	5619304	rising	j	ɨu	∅	j	iu	∅	∅	iəu	∅	j	uw	∅	∅	iu	∅	∅	i̯ə̯u	∅
宊	5619307	checked	tʰ	uə	t̚	tʰ	uo	t̚	tʰ	uə	t̚	tʰ	wə	t̚	tʰ	uə	t̚	tʰ	uə	t̚
宋	5619310	departing	s	uo	ŋ	s	uo	ŋ	s	o	ŋ	s	aw	ŋ	s	o	ŋ	s	uo	ŋ
完	5619313	level	ɦ	uɑ	n	ɦ	ʷɑ	n	ɣ	uɑ	n	ɦ	wa	n	ɣ	uɑ	n	ɣ	uɑ	n
宏	5619316	level	ɦ	ˠwɛ	ŋ	ɦ	ʷᵚæ	ŋ	ɣ	uɐ	ŋ	ɦ	wəɨj	ŋ	ɣ	uɛ	ŋ	ɣ	wæ	ŋ
宐	5619319	level	ŋ	ˠiᴇ	∅	ŋ	ᵚiɛ	∅	ŋ	iɛ	∅	ŋ	jiə	̆	ŋ	je	∅	ŋ	ie	̯
㝏	5619322	departing	k	ˠɛi	∅	k	ᵚæi	∅	k	ɐi	∅	k	əɨj	∅	k	ɛi	∅	k	ăi	∅
㝐	5619325	level	j	ɨo	ŋ	j	io	ŋ	∅	io	ŋ	j	uaw	ŋ	∅	io	ŋ	∅	i̯wo	ŋ
𡧋	5619328	level	b	ˠiɪ	n	b	ᵚi	n	b	ie	n	b	ji	n	b	jĕ	n	bʱ	i̯ĕ	n
𡧍	5619331	departing	m	e	n	m	e	n	m	ɛ	n	m	ɛ	n	m	e	n	m	ie	n
宓	5619334	checked	m	iɪ	t̚	m	i	t̚	m	je	t̚	m	i	t̚	m	iĕ	t̚	m	i̯ĕ	t̚
宔	5619337	rising	t͡ɕ	ɨo	∅	t͡ɕ	io	∅	t͡ɕ	io	∅	c	uə	̆	t͡ɕ	io	∅	t͡ɕ	i̯u	∅
宕	5619340	departing	d	ɑ	ŋ	d	ɑ	ŋ	d	ɑ	ŋ	d	a	ŋ	d	ɑ	ŋ	dʱ	ɑ	ŋ
宖	5619343	level	ɦ	ˠwɛ	ŋ	ɦ	ʷᵚæ	ŋ	ɣ	uɐ	ŋ	ɦ	wəɨj	ŋ	ɣ	uɛ	ŋ	ɣ	wæ	ŋ
宗	5619346	level	t͡s	uo	ŋ	t͡s	uo	ŋ	t͡s	o	ŋ	t͡s	aw	ŋ	t͡s	o	ŋ	t͡s	uo	ŋ
官	5619349	level	k	uɑ	n	k	ʷɑ	n	k	uɑ	n	k	wa	n	k	uɑ	n	k	uɑ	n
宙	5619352	departing	ɖ	ɨu	∅	ɖ	iu	∅	ȡ	iəu	∅	ɖ	uw	∅	ȡ	iu	∅	ȡʱ	i̯ə̯u	∅
定	5619355	departing	d	e	ŋ	d	e	ŋ	d	ɛ	ŋ	d	ɛj	ŋ	d	e	ŋ	dʱ	ie	ŋ
宛	5619358	level	ʔ	ʉɐ	n	ʔ	ʷiɐ	n	ʔ	iuɐ	n	ʔ	ua	n	ʔ	iuɐ	n	ʔ	i̯wɐ	n
宜	5619361	level	ŋ	ˠiᴇ	∅	ŋ	ᵚiɛ	∅	ŋ	iɛ	∅	ŋ	jiə	̆	ŋ	je	∅	ŋ	ie	̯
𡧘	5619364	checked	d͡z	e	k̚	d͡z	e	k̚	d͡z	ɛ	k̚	d͡z	ɛj	k̚	d͡z	e	k̚	d͡zʱ	ie	k̚
客	5619367	checked	kʰ	ˠæ	k̚	kʰ	ᵚa	k̚	kʰ	a	k̚	kʰ	aɨj	k̚	kʰ	ɐ	k̚	kʰ	ɐ	k̚
宣	5619370	level	s	iuᴇ	n	s	ʷiɛ	n	s	juæ	n	s	wia	n	s	iuɛ	n	s	i̯wɛ	n
室	5619373	checked	ɕ	iɪ	t̚	ɕ	i	t̚	ɕ	je	t̚	ɕ	i	t̚	ɕ	iĕ	t̚	ɕ	i̯ĕ	t̚
宥	5619376	departing	ɦ	ɨu	∅	ɦ	iu	∅	ɣ	iəu	∅	ɦ	uw	∅	ɣ	iu	∅	∅	i̯ə̯u	∅
宦	5619379	departing	ɦ	ˠua	n	ɦ	ʷᵚa	n	ɣ	uɐ	n	ɦ	waɨ	n	ɣ	ua	n	ɣ	wa	n
㝖	5619382	level	ŋ	ˠiᴇ	∅	ŋ	ᵚiɛ	∅	ŋ	iɛ	∅	ŋ	jiə	̆	ŋ	je	∅	ŋ	ie	̯
𡧮	5619385	rising	ʔ	eu	∅	ʔ	eu	∅	ʔ	eu	∅	ʔ	ɛw	∅	ʔ	eu	∅	ʔ	ieu	∅
𡧯	5619388	checked	d͡z	e	k̚	d͡z	e	k̚	d͡z	ɛ	k̚	d͡z	ɛj	k̚	d͡z	e	k̚	d͡zʱ	ie	k̚
𡧽	5619391	rising	h	wɑ	ŋ	h	ʷɑ	ŋ	x	uɑ	ŋ	h	wa	ŋ	x	uɑ	ŋ	x	wɑ	ŋ
宬	5619397	level	d͡ʑ	iᴇ	ŋ	d͡ʑ	iɛ	ŋ	d͡ʑ	iæ	ŋ	d͡ʑ	iaj	ŋ	ʑ	iɛ	ŋ	ʑ	i̯ɛ	ŋ
宭	5619401	level	ɡ	ɨu	n	ɡ	iu	n	ɡ	iuə	n	g	u	n	ɡ	iuə	n	g	i̯uə	n
宮	5619404	level	k	ɨu	ŋ	k	iu	ŋ	k	iu	ŋ	k	uw	ŋ	k	iu	ŋ	k	i̯u	ŋ
宰	5619407	rising	t͡s	ʌi	∅	t͡s	əi	∅	t͡s	ɒi	∅	t͡s	əj	∅	t͡s	ᴀi	∅	t͡s	ɑ̆i	∅
宲	5619410	rising	p	ɑu	∅	p	ɑu	∅	p	ɑu	∅	p	aw	∅	p	ɑu	∅	p	ɑu	∅
害	5619414	departing	ɦ	ɑi	∅	ɦ	ɑi	∅	ɣ	ɑi	∅	ɦ	aj	∅	ɣ	ɑi	∅	ɣ	ɑi	∅
宴	5619417	rising	ʔ	e	n	ʔ	e	n	ʔ	ɛ	n	ʔ	ɛ	n	ʔ	e	n	ʔ	ie	n
宵	5619420	level	s	iᴇu	∅	s	iɛu	∅	s	jæu	∅	s	iaw	∅	s	iɛu	∅	s	i̯ɛu	∅
家	5619424	level	k	ˠa	∅	k	ᵚa	∅	k	a	∅	k	aɨ	∅	k	a	∅	k	a	∅
宷	5619428	rising	ɕ	iɪ	m	ɕ	i	m	ɕ	je	m	ɕ	i	m	ɕ	iə	m	ɕ	i̯ə	m
宸	5619431	level	d͡ʑ	iɪ	n	d͡ʑ	i	n	d͡ʑ	je	n	d͡ʑ	i	n	ʑ	iĕ	n	ʑ	i̯ĕ	n
容	5619434	level	j	ɨo	ŋ	j	io	ŋ	∅	io	ŋ	j	uaw	ŋ	∅	io	ŋ	∅	i̯wo	ŋ
㝗	5619437	level	l	ɑ	ŋ	l	ɑ	ŋ	l	ɑ	ŋ	l	a	ŋ	l	ɑ	ŋ	l	ɑ	ŋ
𡨃	5619443	level	ɡ	ɨu	∅	ɡ	iu	∅	ɡ	iəu	∅	g	uw	∅	ɡ	iu	∅	g	i̯ə̯u	∅
宿	5619446	departing	s	ɨu	∅	s	iu	∅	s	iəu	∅	s	uw	∅	s	iu	∅	s	i̯ə̯u	∅
寀	5619449	rising	t͡sʰ	ʌi	∅	t͡sʰ	əi	∅	t͡sʰ	ɒi	∅	t͡sʰ	əj	∅	t͡sʰ	ᴀi	∅	t͡sʰ	ɑ̆i	∅
寁	5619452	rising	t͡s	ʌ	m	t͡s	ə	m	t͡s	ɒ	m	t͡s	ə	m	t͡s	ᴀ	m	t͡s	ă	m
寂	5619455	checked	d͡z	e	k̚	d͡z	e	k̚	d͡z	ɛ	k̚	d͡z	ɛj	k̚	d͡z	e	k̚	d͡zʱ	ie	k̚
寄	5619458	departing	k	ˠiᴇ	∅	k	ᵚiɛ	∅	k	iɛ	∅	k	jiə	̆	k	je	∅	k	ie	̯
寅	5619461	level	j	iɪ	∅	j	i	∅	∅	jɪ	∅	j	i	∅	∅	i	∅	∅	i	∅
密	5619464	checked	m	ˠiɪ	t̚	m	ᵚi	t̚	m	ie	t̚	m	ji	t̚	m	jĕ	t̚	m	i̯ĕ	t̚
㝞	5619467	level	ʔ	ˠa	∅	ʔ	ᵚa	∅	ʔ	a	∅	ʔ	aɨ	∅	ʔ	a	∅	ʔ	a	∅
𡨢	5619470	level	k	ɨʌ	∅	k	iɔ	∅	k	iɔ	∅	k	ɨə	̆	k	iɔ	∅	k	i̯wo	∅
𡨥	5619473	departing	kʰ	əu	∅	kʰ	əu	∅	kʰ	əu	∅	kʰ	əw	∅	kʰ	u	∅	kʰ	ə̯u	∅
寋	5619476	rising	ɡ	ɨɐ	n	ɡ	iɐ	n	ɡ	iɐ	n	g	ɨa	n	ɡ	iɐ	n	g	ɨ̯ɐ	n
富	5619479	departing	p	ɨu	∅	p	iu	∅	p	iəu	∅	p	uw	∅	p	iu	∅	p	i̯ə̯u	∅
寍	5619482	level	n	e	ŋ	n	e	ŋ	n	ɛ	ŋ	n	ɛj	ŋ	n	e	ŋ	n	ie	ŋ
寎	5619485	departing	p	ˠiæ	ŋ	p	ᵚia	ŋ	p	ia	ŋ	p	iaj	ŋ	p	iɐ	ŋ	p	i̯ɐ	ŋ
寏	5619488	level	ɦ	uɑ	n	ɦ	ʷɑ	n	ɣ	uɑ	n	ɦ	wa	n	ɣ	uɑ	n	ɣ	uɑ	n
寐	5619491	departing	m	iɪ	∅	m	i	∅	m	jɪ	∅	m	i	∅	m	i	∅	m	i	∅
寑	5619494	rising	t͡sʰ	iɪ	m	t͡sʰ	i	m	t͡sʰ	je	m	t͡sʰ	i	m	t͡sʰ	iə	m	t͡sʰ	i̯ə	m
寒	5619497	level	ɦ	ɑ	n	ɦ	ɑ	n	ɣ	ɑ	n	ɦ	a	n	ɣ	ɑ	n	ɣ	ɑ	n
寓	5619500	departing	ŋ	ɨo	∅	ŋ	io	∅	ŋ	io	∅	ŋ	uə	̆	ŋ	io	∅	ŋ	i̯u	∅
寔	5619503	checked	d͡ʑ	ɨ	k̚	d͡ʑ	ɨ	k̚	d͡ʑ	ie	k̚	d͡ʑ	i	k̚	ʑ	iə	k̚	ʑ	i̯ə	k̚
寪	5619506	rising	ɦ	ˠiuᴇ	∅	ɦ	ʷᵚiɛ	∅	ɣ	iuɛ	∅	ɦ	jwiə	̆	ɣ	jue	∅	∅	wie	̯
㝢	5619509	rising	ɦ	ɨo	∅	ɦ	io	∅	ɣ	io	∅	ɦ	uə	̆	ɣ	io	∅	∅	i̯u	∅
㝣	5619512	departing	ʔ	ei	∅	ʔ	ei	∅	ʔ	ɛi	∅	ʔ	ɛj	∅	ʔ	ei	∅	ʔ	iei	∅
𡨾	5619515	level	ʔ	e	n	ʔ	e	n	ʔ	ɛ	n	ʔ	ɛ	n	ʔ	e	n	ʔ	ie	n
𡩆	5619518	level	d	ɑ	∅	d	ɑ	∅	d	ɑ	∅	d	a	∅	d	ɑ	∅	dʱ	ɑ	∅
𡩇	5619521	level	kʰ	eu	∅	kʰ	eu	∅	kʰ	eu	∅	kʰ	ɛw	∅	kʰ	eu	∅	kʰ	ieu	∅
寗	5619524	departing	n	e	ŋ	n	e	ŋ	n	ɛ	ŋ	n	ɛj	ŋ	n	e	ŋ	n	ie	ŋ
寘	5619527	departing	t͡ɕ	iᴇ	∅	t͡ɕ	iɛ	∅	t͡ɕ	jɛ	∅	c	iə	̆	t͡ɕ	ie	∅	t͡ɕ	ie	̯
㝤	5619530	departing	k	əu	∅	k	əu	∅	k	əu	∅	k	əw	∅	k	u	∅	k	ə̯u	∅
𡩩	5619536	level	m	ɑ	ŋ	m	ɑ	ŋ	m	ɑ	ŋ	m	a	ŋ	m	ɑ	ŋ	m	ɑ	ŋ
寞	5619539	checked	m	ɑ	k̚	m	ɑ	k̚	m	ɑ	k̚	m	a	k̚	m	ɑ	k̚	m	ɑ	k̚
察	5619542	checked	t͡ʃʰ	ˠɛ	t̚	ʈ͡ʂʰ	ᵚæ	t̚	t͡ʃʰ	æ	t̚	ʈ͡ʂʰ	əɨ	t̚	t͡ʃʰ	ɛ	t̚	ʈ͡ʂʰ	a	t̚
寡	5619545	rising	k	ˠua	∅	k	ʷᵚa	∅	k	ua	∅	k	waɨ	∅	k	ua	∅	k	wa	∅
寢	5619548	rising	t͡sʰ	iɪ	m	t͡sʰ	i	m	t͡sʰ	je	m	t͡sʰ	i	m	t͡sʰ	iə	m	t͡sʰ	i̯ə	m
寣	5619551	checked	h	uə	t̚	h	uo	t̚	x	uə	t̚	h	wə	t̚	x	uə	t̚	x	uə	t̚
寤	5619554	departing	ŋ	uo	∅	ŋ	uo	∅	ŋ	o	∅	ŋ	ɔ	∅	ŋ	o	∅	ŋ	uo	∅
寥	5619557	level	l	eu	∅	l	eu	∅	l	eu	∅	l	ɛw	∅	l	eu	∅	l	ieu	∅
實	5619560	checked	ʑ	iɪ	t̚	ʑ	i	t̚	ʑ	je	t̚	ʑ	i	t̚	d͡ʑ	iĕ	t̚	d͡ʑʰ	i̯ĕ	t̚
寧	5619563	level	n	e	ŋ	n	e	ŋ	n	ɛ	ŋ	n	ɛj	ŋ	n	e	ŋ	n	ie	ŋ
寨	5619566	departing	d͡ʒ	ˠai	∅	ɖ͡ʐ	ᵚai	∅	d͡ʒ	ai	∅	ɖ͡ʐ	aɨj	s	d͡ʒ	ai	∅	ɖ͡ʐʱ	ai	∅
㝩	5619569	level	kʰ	ɑ	ŋ	kʰ	ɑ	ŋ	kʰ	ɑ	ŋ	kʰ	a	ŋ	kʰ	ɑ	ŋ	kʰ	ɑ	ŋ
㝪	5619572	departing	t	e	m	t	e	m	t	ɛ	m	t	ɛ	m	t	e	m	t	ie	m
𡩻	5619575	rising	t͡s	iɪ	m	t͡s	i	m	t͡s	je	m	t͡s	i	m	t͡s	iə	m	t͡s	i̯ə	m
𡪁	5619578	level	ŋ	ʌ	m	ŋ	ə	m	ŋ	ɒ	m	ŋ	ə	m	ŋ	ᴀ	m	ŋ	ă	m
𡪄	5619581	rising	ʈ	ɨʌ	∅	ʈ	iɔ	∅	ȶ	iɔ	∅	ʈ	ɨə	̆	ȶ	iɔ	∅	ȶ	i̯wo	∅
𡪔	5619584	level	t͡sʰ	iɪ	n	t͡sʰ	i	n	t͡sʰ	je	n	t͡sʰ	i	n	t͡sʰ	iĕ	n	t͡sʰ	i̯ĕ	n
審	5619586	rising	ɕ	iɪ	m	ɕ	i	m	ɕ	je	m	ɕ	i	m	ɕ	iə	m	ɕ	i̯ə	m
寫	5619590	rising	s	ia	∅	s	ia	∅	s	ia	∅	s	ia	∅	s	ia	∅	s	i̯a	∅
寬	5619593	level	kʰ	uɑ	n	kʰ	ʷɑ	n	kʰ	uɑ	n	kʰ	wa	n	kʰ	uɑ	n	kʰ	uɑ	n
寮	5619596	level	l	eu	∅	l	eu	∅	l	eu	∅	l	ɛw	∅	l	eu	∅	l	ieu	∅
㝯	5619599	level	ɡ	ˠiᴇu	∅	ɡ	ᵚiɛu	∅	ɡ	iæu	∅	g	iaw	∅	ɡ	jɛu	∅	g	i̯ɛu	∅
𡪢	5619601	rising	t͡sʰ	iɪ	m	t͡sʰ	i	m	t͡sʰ	je	m	t͡sʰ	i	m	t͡sʰ	iə	m	t͡sʰ	i̯ə	m
𡪶	5619605	level	h	ʌ	m	h	ə	m	x	ɒ	m	h	ə	m	x	ᴀ	m	x	ă	m
寯	5619608	departing	t͡s	iuɪ	n	t͡s	ʷi	n	t͡s	jue	n	t͡s	wi	n	t͡s	iuĕ	n	t͡s	i̯uĕ	n
寰	5619611	level	ɦ	ˠua	n	ɦ	ʷᵚa	n	ɣ	uɐ	n	ɦ	waɨ	n	ɣ	ua	n	ɣ	wa	n
𡫀	5619614	checked	k	e	k̚	k	e	k̚	k	ɛ	k̚	k	ɛj	k̚	k	e	k̚	k	ie	k̚
𡫏	5619616	departing	t͡s	iɪ	m	t͡s	i	m	t͡s	je	m	t͡s	i	m	t͡s	iə	m	t͡s	i̯ə	m
㝰	5619620	level	m	e	n	m	e	n	m	ɛ	n	m	ɛ	n	m	e	n	m	ie	n
寴	5619623	level	t͡sʰ	iɪ	n	t͡sʰ	i	n	t͡sʰ	je	n	t͡sʰ	i	n	t͡sʰ	iĕ	n	t͡sʰ	i̯ĕ	n
寵	5619626	rising	ʈʰ	ɨo	ŋ	ʈʰ	io	ŋ	ȶʰ	io	ŋ	ʈʰ	uaw	ŋ	ȶʰ	io	ŋ	ȶʰ	i̯wo	ŋ
𡫬	5619629	checked	k	ɨu	k̚	k	iu	k̚	k	iu	k̚	k	uw	k̚	k	iu	k̚	k	i̯u	k̚
寶	5619632	rising	p	ɑu	∅	p	ɑu	∅	p	ɑu	∅	p	aw	∅	p	ɑu	∅	p	ɑu	∅
𡫺	5619635	level	pʰ	ɨu	∅	pʰ	iu	∅	pʰ	iəu	∅	pʰ	uw	∅	pʰ	iu	∅	pʰ	i̯ə̯u	∅
寷	5619638	level	pʰ	ɨu	ŋ	pʰ	iu	ŋ	pʰ	iu	ŋ	pʰ	uw	ŋ	pʰ	iu	ŋ	pʰ	i̯u	ŋ
㝱	5619641	departing	m	ɨu	ŋ	m	iu	ŋ	m	iu	ŋ	m	uw	ŋ	m	iu	ŋ	m	i̯u	ŋ
𡫼	5619644	checked	s	ə	k̚	s	ə	k̚	s	ə	k̚	s	ə	k̚	s	ə	k̚	s	ə	k̚
𡫽	5619647	level	ȵ	ɨʌ	∅	ȵ	iɔ	∅	ȵʑ	iɔ	∅	ȵ	ɨə	̆	ȵ	iɔ	∅	ȵʑ	i̯wo	∅
𡬄	5619650	departing	ɡ	iuɪ	∅	ɡ	ʷi	∅	ɡ	juɪ	∅	g	wi	∅	ɡ	ui	∅	g	wi	∅
𡬍	5619653	rising	m	ˠiᴇ	∅	m	ᵚiɛ	∅	m	iɛ	∅	m	jiə	̆	m	je	∅	m	ie	̯
𡬓	5619656	rising	t͡sʰ	iɪ	m	t͡sʰ	i	m	t͡sʰ	je	m	t͡sʰ	i	m	t͡sʰ	iə	m	t͡sʰ	i̯ə	m
𡬖	5619659	level	h	ʌ	m	h	ə	m	x	ɒ	m	h	ə	m	x	ᴀ	m	x	ă	m
𡬙	5619662	departing	s	ə	ŋ	s	ə	ŋ	s	ə	ŋ	s	ə	ŋ	s	ə	ŋ	s	ə	ŋ
寸	5619665	departing	t͡sʰ	uə	n	t͡sʰ	uo	n	t͡sʰ	uə	n	t͡sʰ	wə	n	t͡sʰ	uə	n	t͡sʰ	uə	n
寺	5619668	departing	z	ɨ	∅	z	ɨ	∅	z	ie	∅	z	ɨ	∅	z	iə	∅	z	i	∅
寽	5619670	checked	l	iuɪ	t̚	l	ʷi	t̚	l	jue	t̚	l	wi	t̚	l	iuĕ	t̚	l	i̯uĕ	t̚
封	5619674	level	p	ɨo	ŋ	p	io	ŋ	p	io	ŋ	p	uaw	ŋ	p	io	ŋ	p	i̯wo	ŋ
尃	5619678	level	pʰ	ɨo	∅	pʰ	io	∅	pʰ	io	∅	pʰ	uə	̆	pʰ	io	∅	pʰ	i̯u	∅
射	5619681	departing	j	ia	∅	j	ia	∅	∅	ia	∅	j	ia	∅	∅	ia	∅	∅	i̯a	∅
將	5619684	level	t͡s	ɨɐ	ŋ	t͡s	iɐ	ŋ	t͡s	iɑ	ŋ	t͡s	ɨa	ŋ	t͡s	ia	ŋ	t͡s	i̯a	ŋ
專	5619687	level	t͡ɕ	iuᴇ	n	t͡ɕ	ʷiɛ	n	t͡ɕ	juæ	n	c	wia	n	t͡ɕ	iuɛ	n	t͡ɕ	i̯wɛ	n
尉	5619690	departing	ʔ	ʉi	∅	ʔ	ʷɨi	∅	ʔ	iuəi	∅	ʔ	uj	∅	ʔ	iuəi	∅	ʔ	we̯i	∅
𡬲	5619693	rising	d	ɑu	∅	d	ɑu	∅	d	ɑu	∅	d	aw	∅	d	ɑu	∅	dʱ	ɑu	∅
尊	5619696	level	t͡s	uə	n	t͡s	uo	n	t͡s	uə	n	t͡s	wə	n	t͡s	uə	n	t͡s	uə	n
尋	5619699	level	z	iɪ	m	z	i	m	z	je	m	z	i	m	z	iə	m	z	i̯ə	m
尌	5619702	departing	d͡ʑ	ɨo	∅	d͡ʑ	io	∅	d͡ʑ	io	∅	d͡ʑ	uə	̆	ʑ	io	∅	ʑ	i̯u	∅
對	5619705	departing	t	uʌi	∅	t	uoi	∅	t	uɒi	∅	t	wəj	∅	t	uᴀi	∅	t	uɑ̆i	∅
導	5619708	departing	d	ɑu	∅	d	ɑu	∅	d	ɑu	∅	d	aw	∅	d	ɑu	∅	dʱ	ɑu	∅
𡭊	5619711	departing	t	uʌi	∅	t	uoi	∅	t	uɒi	∅	t	wəj	∅	t	uᴀi	∅	t	uɑ̆i	∅
𡭐	5619714	rising	d͡ʑ	iuᴇ	n	d͡ʑ	ʷiɛ	n	d͡ʑ	juæ	n	d͡ʑ	wia	n	ʑ	iuɛ	n	ʑ	i̯wɛ	n
小	5619718	rising	s	iᴇu	∅	s	iɛu	∅	s	jæu	∅	s	iaw	∅	s	iɛu	∅	s	i̯ɛu	∅
尐	5619721	checked	t͡s	iuᴇ	t̚	t͡s	ʷiɛ	t̚	t͡s	juæ	t̚	t͡s	wia	t̚	t͡s	iuɛ	t̚	t͡s	i̯wɛ	t̚
少	5619724	rising	ɕ	iᴇu	∅	ɕ	iɛu	∅	ɕ	jæu	∅	ɕ	iaw	∅	ɕ	iɛu	∅	ɕ	i̯ɛu	∅
尒	5619727	rising	ȵ	iᴇ	∅	ȵ	iɛ	∅	ȵʑ	jɛ	∅	ȵ	iə	̆	ȵ	ie	∅	ȵʑ	ie	̯
