character	index	tone_label	Zhengzhang_onset	Zhengzhang_nucleus	Zhengzhang_coda	Pan_onset	Pan_nucleus	Pan_coda	Shao_onset	Shao_nucleus	Shao_coda	Pulleyblank_onset	Pulleyblank_nucleus	Pulleyblank_coda	Li_onset	Li_nucleus	Li_coda	Karlgren_onset	Karlgren_nucleus	Karlgren_coda
𨬕	5639086	level	k	uo	∅	k	uo	∅	k	o	∅	k	ɔ	∅	k	o	∅	k	uo	∅
㿮	5639087	level	ʔ	ˠiæ	ŋ	ʔ	ᵚia	ŋ	ʔ	ia	ŋ	ʔ	iaj	ŋ	ʔ	iɐ	ŋ	ʔ	i̯ɐ	ŋ
𨭖	5639088	rising	t͡ɕ	iᴇ	n	t͡ɕ	iɛ	n	t͡ɕ	jæ	n	c	ia	n	t͡ɕ	iɛ	n	t͡ɕ	i̯ɛ	n
𤿕	5639089	rising	m	iɪ	n	m	i	n	m	je	n	m	i	n	m	iĕ	n	m	i̯ĕ	n
鑄	5639090	departing	t͡ɕ	ɨo	∅	t͡ɕ	io	∅	t͡ɕ	io	∅	c	uə	̆	t͡ɕ	io	∅	t͡ɕ	i̯u	∅
𤿙	5639091	departing	b	ˠiᴇ	∅	b	ᵚiɛ	∅	b	iɛ	∅	b	jiə	̆	b	je	∅	bʱ	ie	̯
鑈	5639092	rising	n	ei	∅	n	ei	∅	n	ɛi	∅	n	ɛj	∅	n	ei	∅	n	iei	∅
𤿚	5639093	level	t͡sʰ	uo	∅	t͡sʰ	uo	∅	t͡sʰ	o	∅	t͡sʰ	ɔ	∅	t͡sʰ	o	∅	t͡sʰ	uo	∅
鑊	5639094	checked	ɦ	wɑ	k̚	ɦ	ʷɑ	k̚	ɣ	uɑ	k̚	ɦ	wa	k̚	ɣ	uɑ	k̚	ɣ	wɑ	k̚
㿯	5639095	checked	t	ʌ	p̚	t	ə	p̚	t	ɒ	p̚	t	ə	p̚	t	ᴀ	p̚	t	ă	p̚
鑋	5639096	level	kʰ	iᴇ	ŋ	kʰ	iɛ	ŋ	kʰ	iæ	ŋ	kʰ	iaj	ŋ	kʰ	iɛ	ŋ	kʰ	i̯ɛ	ŋ
𤿠	5639097	checked	k	iɪ	t̚	k	i	t̚	k	je	t̚	k	i	t̚	k	iĕ	t̚	k	i̯ĕ	t̚
鑌	5639098	level	p	iɪ	n	p	i	n	p	je	n	p	i	n	p	iĕ	n	p	i̯ĕ	n
皴	5639099	level	t͡sʰ	iuɪ	n	t͡sʰ	ʷi	n	t͡sʰ	jue	n	t͡sʰ	wi	n	t͡sʰ	iuĕ	n	t͡sʰ	i̯uĕ	n
鑏	5639100	level	ɳ	ˠɛ	ŋ	ɳ	ᵚæ	ŋ	n	ɐ	ŋ	ɳ	əɨj	ŋ	n	ɛ	ŋ	n	æ	ŋ
鑐	5639102	level	s	ɨo	∅	s	io	∅	s	io	∅	s	uə	̆	s	io	∅	s	i̯u	∅
𤿧	5639103	departing	ɦ	ɑ	n	ɦ	ɑ	n	ɣ	ɑ	n	ɦ	a	n	ɣ	ɑ	n	ɣ	ɑ	n
鑑	5639104	level	k	ˠa	m	k	ᵚa	m	k	a	m	k	aɨ	m	k	a	m	k	a	m
𤿩	5639105	checked	kʰ	ˠʌ	k̚	kʰ	ᵚɔ	k̚	kʰ	ɔ	k̚	kʰ	aɨw	k̚	kʰ	ɔ	k̚	kʰ	ɔ	k̚
鑒	5639106	level	k	e	n	k	e	n	k	ɛ	n	k	ɛ	n	k	e	n	k	ie	n
𤿫	5639107	checked	ʈʰ	ˠiuᴇ	t̚	ʈʰ	ʷᵚie	t̚	ȶʰ	iuæ	t̚	ʈʰ	wia	t̚	ȶʰ	juɛ	t̚	ȶʰ	i̯wɛ	t̚
䥩	5639108	level	m	ʉi	∅	m	ʷɨi	∅	m	iuəi	∅	m	uj	∅	m	iuəi	∅	m	we̯i	∅
皵	5639109	checked	t͡sʰ	ɨɐ	k̚	t͡sʰ	iɐ	k̚	t͡sʰ	iɑ	k̚	t͡sʰ	ɨa	k̚	t͡sʰ	ia	k̚	t͡sʰ	i̯a	k̚
𨮒	5639110	departing	m	ə	ŋ	m	ə	ŋ	m	ə	ŋ	m	ə	ŋ	m	ə	ŋ	m	ə	ŋ
𤿳	5639111	rising	kʰ	iɪ	n	kʰ	i	n	kʰ	je	n	kʰ	i	n	kʰ	iĕ	n	kʰ	i̯ĕ	n
𨮱	5639112	departing	ɖ	ˠiuᴇi	∅	ɖ	ʷᵚiei	∅	ȡ	iuæi	∅	ɖ	jwiaj	∅	ȡ	juɛi	∅	ȡʱ	i̯wɛi	∅
皷	5639113	rising	k	uo	∅	k	uo	∅	k	o	∅	k	ɔ	∅	k	o	∅	k	uo	∅
鑕	5639114	checked	t͡ɕ	iɪ	t̚	t͡ɕ	i	t̚	t͡ɕ	je	t̚	c	i	t̚	t͡ɕ	iĕ	t̚	t͡ɕ	i̯ĕ	t̚
皸	5639115	level	k	ɨu	n	k	iu	n	k	iuə	n	k	u	n	k	iuə	n	k	i̯uə	n
鑗	5639116	level	l	iɪ	∅	l	i	∅	l	jɪ	∅	l	i	∅	l	i	∅	l	i	∅
㿴	5639117	checked	t	ɑ	p̚	t	ɑ	p̚	t	ɑ	p̚	t	a	p̚	t	ɑ	p̚	t	ɑ	p̚
鑘	5639118	level	l	uʌi	∅	l	uoi	∅	l	uɒi	∅	l	wəj	∅	l	uᴀi	∅	l	uɑ̆i	∅
𥀁	5639119	rising	d	uo	∅	d	uo	∅	d	o	∅	d	ɔ	∅	d	o	∅	dʱ	uo	∅
